L,b,h,E,rho,damping_ratio,force_amplitude,excitation_frequency,observation_point,simulation_time,time_step,number_of_modes,f1,f2,f3,f4,peak_displacement,rms_displacement,sample_id,source_split,uncertainty_level,error_E,error_rho,error_h,E_nominal,rho_nominal,h_nominal,E_perturbed,rho_perturbed,h_perturbed
1.0808507664193283,0.0770396156077214,0.019693323887864506,193662499553.70132,7827.3239521989935,0.0140861859862943,5.519970766544543,58.80146999636387,0.65,2.0,0.002,4.0,38.02182163028745,152.0872865211498,342.196394672587,608.3491460845992,1.5589125830608265e-05,5.093331227705699e-06,0,train,0.025,0.013697802427798167,-0.003056078012397384,0.017929895995569125,191045594742.2212,7851.318193097253,0.0193464441562587,193662499553.70132,7827.3239521989935,0.019693323887864506
2.9513556837958035,0.0341366140758689,0.008210415151353817,206856405870.79666,7663.747763338908,0.0151633167701555,6.736612158918698,0.8003076860942735,0.65,2.0,0.002,4.0,2.220573505477304,8.882294021909216,19.985161549295736,35.52917608763686,0.027923439763708646,0.015311669419287962,1,train,0.025,0.009868401452968197,-0.020291132605617525,0.023781117581837798,204835011743.2904,7822.474633429914,0.0080196977755819,206856405870.79666,7663.747763338908,0.008210415151353817
2.782254257289617,0.0749966480738674,0.015894217324860026,190468336415.34277,7927.204527891995,0.0327197285955549,7.756397183725521,5.077790273958217,0.65,2.0,0.002,4.0,4.563795042342422,18.255180169369687,41.0741553810818,73.02072067747875,0.006741132850723655,0.0035840957794245664,2,train,0.025,0.01305698509951765,0.014303215263847691,-0.018594318366222707,188013447631.11435,7815.418908861406,0.0161953589858991,190468336415.34277,7927.204527891995,0.015894217324860026
1.1775653768459855,0.0666644288485785,0.017831055829174394,186584241107.28662,7917.576025695249,0.0329413027724974,5.395875720878805,38.95919569121337,0.65,2.0,0.002,4.0,28.305942302580487,113.22376921032195,254.7534807232244,452.8950768412878,4.703520516337752e-05,1.6814774973378044e-05,3,train,0.025,-0.0024807031052216434,-0.006460098788370939,0.021338249442430093,187048252287.56265,7969.056920652817,0.0174585215416232,186584241107.28662,7917.576025695249,0.017831055829174394
1.6623564899242649,0.0700966647591768,0.018386384755591477,200767256708.80252,8086.137965782179,0.0174561479325971,6.61849091921443,5.426158922170924,0.65,2.0,0.002,4.0,15.033259021632635,60.13303608653054,135.2993311946937,240.53214434612215,0.00012296549200254488,6.644291767956058e-05,4,train,0.025,0.007193256004033227,0.0161380806635415,-0.0028292900586334435,199333400528.64548,7957.715707792297,0.0184385527696382,200767256708.80252,8086.137965782179,0.018386384755591477
2.0254641286002224,0.045978349572066,0.005416870093051682,215412550738.21393,7662.055740309587,0.0068485591987181,2.536059453898891,1.040415600690709,0.65,2.0,0.002,4.0,3.174617531992902,12.698470127971609,28.571557787936126,50.793880511886435,0.005588130474782649,0.0030525616804443286,5,train,0.025,-0.013638063910761156,0.0027292393507917403,-0.021809137194791234,218390980893.1688,7641.201073652063,0.0055376412712724,215412550738.21393,7662.055740309587,0.005416870093051682
2.351379017248405,0.0454208549556976,0.012386159503761833,188653448017.67242,7860.008180446035,0.0444675515976044,4.658453824487921,9.233559279043298,0.65,2.0,0.002,4.0,4.976700667751514,19.906802671006055,44.790306009763626,79.62721068402422,0.0012031555298181152,0.0004494298442558172,6,train,0.025,0.016381558599629104,0.006583219956103243,0.012904387004268693,185612820718.2342,7808.602433079311,0.0122283600137173,188653448017.67242,7860.008180446035,0.012386159503761833
1.7863471310829542,0.0235769497264156,0.02020906861629469,204650660644.86084,8062.589865104465,0.0173567957486742,8.205174250463664,17.33925022585063,0.65,2.0,0.002,4.0,14.468154245723214,57.87261698289286,130.21338821150894,231.49046793157143,0.0012798370977905168,0.0005233946434589269,7,train,0.025,-0.007273701593506582,0.023534901219745163,0.019656056066109887,206150135211.8529,7877.20072417295,0.0198194955015149,204650660644.86084,8062.589865104465,0.02020906861629469
2.257502224503737,0.0504952074641078,0.0189642630220217,199666330622.71805,7537.37073183957,0.0198385491760857,3.992796918608189,10.713117962428448,0.65,2.0,0.002,4.0,8.684630192451612,34.73852076980645,78.1616717320645,138.9540830792258,0.0007764098332712638,0.0003290068110585727,8,train,0.025,0.013919174853688094,-0.015268064607401622,-0.0016639498136482912,196925293035.83847,7654.236103183278,0.0189958711983623,199666330622.71805,7537.37073183957,0.0189642630220217
1.2256098962647417,0.0668740211642996,0.005758312683076864,197152072720.95807,7689.726743007645,0.0336182593824794,3.2247003969459493,2.120857587736934,0.65,2.0,0.002,4.0,8.801672396273494,35.206689585093976,79.21505156646145,140.8267583403759,0.0004841689443980462,0.0003036233842625485,9,train,0.025,-0.02280981171063856,-0.01728552539662261,0.009152447662122731,201754044487.57956,7824.985732617007,0.0057060880111989,197152072720.95807,7689.726743007645,0.005758312683076864
1.22737699056915,0.0799645151612787,0.015662056679230704,207683817471.19998,7916.744138340594,0.0440511396298334,9.109609961673067,36.72315243398459,0.65,2.0,0.002,4.0,24.146273471244367,96.58509388497747,217.31646124119928,386.34037553990987,7.332986497763935e-05,2.5294887988644362e-05,10,train,0.025,0.012238107795390857,0.023375486621710503,-0.008708732093092404,205172889532.41052,7735.9133981943905,0.0157996516122863,207683817471.19998,7916.744138340594,0.015662056679230704
2.381252438731713,0.0289365462857769,0.013732597862441456,197617016516.57666,7937.920106870635,0.0154509998213416,1.7949495886527804,6.651531887231568,0.65,2.0,0.002,4.0,5.479360674057392,21.917442696229568,49.31424606651653,87.66977078491827,0.0022625143508483393,0.0010132834412902051,11,train,0.025,-0.006477014698256556,-0.001522209436209604,-0.015526432045785715,198905329257.7406,7950.021704927948,0.013949178839792,197617016516.57666,7937.920106870635,0.013732597862441456
2.0057882729584904,0.0749831846253425,0.01307095713933713,206852939785.45908,7708.061739379188,0.0405686070519983,2.7167839685513573,1.8357190110681392,0.65,2.0,0.002,4.0,7.631760367645546,30.527041470582184,68.68584330880991,122.10816588232873,0.00021118577695527797,0.0001322105449031109,12,train,0.025,-0.01850392473322642,-0.001214753688703313,-0.013654532547455795,210752691730.56635,7717.436523863885,0.0132519057172694,206852939785.45908,7708.061739379188,0.01307095713933713
2.306942578386292,0.0212259682951142,0.005402658724991646,194379409373.4742,7877.075816941261,0.046645635585445,6.8614610944947545,3.290655566896355,0.65,2.0,0.002,4.0,2.286682329622899,9.146729318491596,20.58014096660609,36.586917273966385,0.0771197867285069,0.035669528720960464,13,train,0.025,0.008490699734125518,-0.0031424040563834636,0.016633909802891873,192742887390.751,7901.906800925653,0.0053142617739744,194379409373.4742,7877.075816941261,0.005402658724991646
2.519345407975992,0.0651731482194698,0.006393106581370663,206426060109.88544,7585.311029014093,0.0271944199790507,2.4728884383271037,0.686328639370332,0.65,2.0,0.002,4.0,2.3826559469619504,9.530623787847802,21.443903522657557,38.122495151391206,0.005329800790788372,0.0031886036855674274,14,train,0.025,0.010013255100112457,-0.009381667930897947,0.016612990069760053,204379555483.58075,7657.147847416343,0.0062886335742493,206426060109.88544,7585.311029014093,0.006393106581370663
2.461916749468922,0.0656189471729016,0.017925652344437742,214888268992.95917,7729.010965063336,0.0103386380686452,3.796311321811432,13.30711276997022,0.65,2.0,0.002,4.0,7.071342769037988,28.285371076151954,63.6420849213419,113.14148430460781,0.0002517864915386295,0.000107814876880821,15,train,0.025,0.015238217874840095,-0.005626081048491278,-0.010583594803487795,211662903552.60333,7772.741036101376,0.0181173995602766,214888268992.95917,7729.010965063336,0.017925652344437742
1.5531440273138055,0.0218125968945242,0.016978858706957235,188765271559.44495,7483.454736742575,0.0390144978871646,3.5654279014924906,14.461042215429297,0.65,2.0,0.002,4.0,16.029658382195283,64.11863352878113,144.26692543975759,256.4745341151245,0.000920140850130981,0.0005159552729023857,16,train,0.025,0.009124775198748774,-0.01801237581953451,-0.015004589876244584,187058405658.77228,7620.722046255949,0.017237500329899,188765271559.44495,7483.454736742575,0.016978858706957235
1.2100635760244691,0.0316831208075376,0.008223431994207824,211125782680.69513,7740.688524297812,0.0388025616825407,2.9482758071867434,16.793383495553336,0.65,2.0,0.002,4.0,13.299852435564295,53.19940974225718,119.69867192007864,212.79763896902872,0.0007148075757451474,0.0002943281860392578,17,train,0.025,-0.024631886512449727,0.01434621887510692,0.008242542829601606,216457540246.8188,7631.209522210383,0.0081562041323202,211125782680.69513,7740.688524297812,0.008223431994207824
1.137089755846757,0.0641884674436284,0.014488315705328401,201217373302.3524,7726.284990213584,0.0465607137376533,4.8266657903747525,23.931085288978327,0.65,2.0,0.002,4.0,25.93015047010933,103.72060188043731,233.371354230984,414.88240752174926,0.00019340717068565174,0.00011803373024146357,18,train,0.025,0.010258268931316756,0.014036451551098394,-0.0020542112230830024,199174190888.0454,7619.336541990421,0.014518139029461,201217373302.3524,7726.284990213584,0.014488315705328401
1.8149523828387997,0.0766725036211211,0.007282557248871433,201785171737.05032,7705.607431170802,0.0327821591821538,6.6028291648323885,6.939207927983314,0.65,2.0,0.002,4.0,5.13007689896416,20.52030759585664,46.17069209067745,82.08123038342656,0.00405497930360853,0.0017019271801285473,19,train,0.025,0.0034370597976446874,-0.018010150093617127,-0.019273496323201328,201093999635.35605,7846.931851592365,0.007425675987718,201785171737.05032,7705.607431170802,0.007282557248871433
2.008285573720753,0.0352490698172743,0.005607101634702108,205118344780.98785,7749.28355283654,0.0225774616745673,9.968446679389952,1.290661183559883,0.65,2.0,0.002,4.0,3.24330820334092,12.97323281336368,29.189773830068276,51.89293125345472,0.02801971897019091,0.015319721870654507,20,train,0.025,0.008420148089523584,-0.001445189692843374,0.0032618053240594416,203405639176.87436,7760.498945924513,0.0055888718228349,205118344780.98785,7749.28355283654,0.005607101634702108
2.9450814857787933,0.0212661249442886,0.007074211982643975,211248064795.79858,7784.111755855232,0.0078697909179698,3.079485548218398,0.685475979805846,0.65,2.0,0.002,4.0,1.9266575595454805,7.706630238181922,17.339918035909328,30.826520952727687,0.03119184823171399,0.017861047673522236,21,train,0.025,0.013249942870801279,0.00673591600002954,0.0026789700328997915,208485641950.5712,7732.029454937022,0.0070553110158597,211248064795.79858,7784.111755855232,0.007074211982643975
1.276580691631079,0.0205046165623088,0.019333482206733095,197007502599.72726,7603.14269742204,0.0103402193159974,3.767077684548621,54.5157932378064,0.65,2.0,0.002,4.0,27.383414876150265,109.53365950460106,246.4507338853524,438.13463801840425,4.1103389204998114e-05,1.4267742173695894e-05,22,train,0.025,0.0029603580372706776,-0.00980249509686939,-0.02345910827160303,196426011278.50992,7678.410276509274,0.0197979238457843,197007502599.72726,7603.14269742204,0.019333482206733095
2.3970144002774427,0.0658405244664313,0.01939828835242272,213880949249.72412,7619.215677503032,0.0377269129949918,0.8520477892585451,3.60718397554053,0.65,2.0,0.002,4.0,8.11114744952261,32.44458979809044,73.0003270457035,129.77835919236176,6.12892297889838e-05,3.39646916782187e-05,23,train,0.025,-0.003164130538381882,-0.01427076635902354,-0.004573567813768192,214559844606.35355,7729.521878295142,0.0194874153681239,213880949249.72412,7619.215677503032,0.01939828835242272
2.9151848683883435,0.0381597993428857,0.019355306979974056,198583106744.5947,7577.723632711199,0.0100528803410107,7.87112294155296,6.381039420832841,0.65,2.0,0.002,4.0,5.286873085016843,21.147492340067373,47.5818577651516,84.58996936026949,0.006437432909025158,0.002931795377727867,24,train,0.025,0.017670153663408305,-0.013303025706732963,-0.0220848629155467,195135040592.21484,7679.889398808413,0.0197924198593344,198583106744.5947,7577.723632711199,0.019355306979974056
1.6442772069598948,0.0546262100953322,0.0063515609844417955,209975066002.30136,7901.241180796501,0.0092399686085141,7.34283069842395,9.533326104790438,0.65,2.0,0.002,4.0,5.491561567978105,21.96624627191242,49.424054111802945,87.86498508764969,0.003352401954962691,0.0014687820762318386,25,train,0.025,-0.010930805398900173,-0.01032031211166582,0.008095825736344753,212295628201.206,7983.634783548271,0.0063005528068747,209975066002.30136,7901.241180796501,0.0063515609844417955
1.0971534756597152,0.0564525065972496,0.015452280439103077,209850210865.9104,7798.89249270095,0.0440825072882784,6.933852856576172,9.094495314701868,0.65,2.0,0.002,4.0,30.194323733122722,120.77729493249089,271.74891359810454,483.10917972996356,4.356836972789648e-05,2.4942544537752108e-05,26,train,0.025,0.0028516076170639173,0.014194910455320675,0.008215677016369377,209253501985.75052,7689.737359458502,0.0153263639827852,209850210865.9104,7798.89249270095,0.015452280439103077
1.947187514448688,0.0357448970064292,0.012776508163638393,201916219800.4762,8032.847088719308,0.0259739339034027,7.887714338219768,2.554883436725341,0.65,2.0,0.002,4.0,7.660845997311467,30.64338398924587,68.94761397580321,122.57353595698348,0.0015323415971804576,0.000838869016135028,27,train,0.025,-0.004680656927996474,0.015701019233301732,-0.016651354004614805,202865764848.16608,7908.672863972189,0.0129928568221147,201916219800.4762,8032.847088719308,0.012776508163638393
2.272992239354336,0.028388348819572,0.010549508570884342,197391249098.68732,7655.109922906206,0.0423785309039918,9.328500462022504,1.773923466561611,0.65,2.0,0.002,4.0,4.701688033900665,18.80675213560266,42.31519230510599,75.22700854241064,0.007980443078599402,0.004386009628985859,28,train,0.025,-0.023864396343306976,-0.020497606961217912,0.011117967529822515,202217036607.66156,7815.304972514868,0.0104335091548783,197391249098.68732,7655.109922906206,0.010549508570884342
1.071664326891283,0.0650892494997173,0.01703924685751488,188185506346.2057,7663.924036933276,0.0352396750491445,7.451151263949621,64.34712715701,0.65,2.0,0.002,4.0,33.33723606850487,133.3489442740195,300.03512461654384,533.395777096078,2.0140895962398084e-05,6.242521956336551e-06,29,train,0.025,-0.001906138487430631,-0.016936411048319912,5.223875516817689e-05,188544899034.86475,7795.9596134629855,0.0170383567949658,188185506346.2057,7663.924036933276,0.01703924685751488
2.433245513454626,0.0655991006897691,0.013586359881599534,210787805808.96887,7792.164665796991,0.0446727749559288,7.321163550033111,9.009522826370809,0.65,2.0,0.002,4.0,5.411955119587603,21.64782047835041,48.707596076288425,86.59128191340164,0.0013690534953419398,0.0004952040020946537,30,train,0.025,-0.01738439486434158,0.009816018753886803,-0.002692186221298465,214517054998.19315,7716.42014098026,0.013623035630416,210787805808.96887,7792.164665796991,0.013586359881599534
1.044921890881804,0.0241026467220944,0.017020412079844408,193897407308.11926,7789.2938319217365,0.0382631732169421,4.279623357498382,16.018678850082548,0.65,2.0,0.002,4.0,35.2670088513425,141.06803540537,317.4030796620826,564.27214162148,4.975402307777878e-05,2.7576583899875385e-05,31,train,0.025,-0.005948938695175876,-0.009924395542606174,0.006514129655944423,195057794167.6388,7867.372750983619,0.0169102564766403,193897407308.11926,7789.2938319217365,0.017020412079844408
1.2732318487594618,0.0748212165286176,0.01568076395769708,181388792595.55673,7798.1176404455855,0.0126709335508297,1.0675288165718324,10.960764033893806,0.65,2.0,0.002,4.0,21.153966779465705,84.61586711786282,190.38570101519136,338.4634684714513,1.3788609138859786e-05,7.38692859295452e-06,32,train,0.025,-0.006909369472330479,-0.02061750403419495,-0.019099704893974237,182650794418.6096,7962.279980055775,0.0159860936284071,181388792595.55673,7798.1176404455855,0.01568076395769708
2.8433130954140227,0.0443926549103143,0.011411802649489523,218984684866.35275,7971.804323384199,0.0102701204720239,1.2372470829082147,1.446447719409112,0.65,2.0,0.002,4.0,3.354769549615106,13.419078198460424,30.192925946535954,53.676312793841696,0.0012864301255237865,0.0007328953437795576,33,train,0.025,0.02309488322747573,0.020429034535380353,0.009985356690537479,214041423191.89325,7812.208447218384,0.0112989783207185,218984684866.35275,7971.804323384199,0.011411802649489523
1.1095392131508826,0.0663539082781165,0.010561892831027991,209378295641.81894,8167.120346215924,0.0061957944646464,9.646498166845388,9.852569431601047,0.65,2.0,0.002,4.0,19.697769534275434,78.79107813710174,177.2799258084789,315.16431254840694,0.0002142672049575347,0.0001221125204858471,34,train,0.025,-0.011706501927024021,0.023458818867386197,0.013937545198289731,211858416604.0505,7979.920828914341,0.0104167094719453,209378295641.81894,8167.120346215924,0.010561892831027991
2.8373292301225903,0.0349204797221704,0.018089988311142557,185896112953.15717,7839.479910223775,0.0402277169775103,6.1846015705990185,5.444133914212492,0.65,2.0,0.002,4.0,4.961803996515343,19.84721598606137,44.65623596863808,79.38886394424549,0.008811274125062395,0.004955015561930336,35,train,0.025,0.010844509457949781,-0.0025319248928105664,-0.01138792190774205,183901788270.9193,7859.379268235059,0.0182983687049941,185896112953.15717,7839.479910223775,0.018089988311142557
1.9408090718658324,0.0479612688331331,0.015719058121754125,215218797236.89206,7764.358200372805,0.0228211947708246,8.581502592342071,13.512021639138748,0.65,2.0,0.002,4.0,9.96270945929559,39.85083783718236,89.66438513366032,159.40335134872944,0.0010611845233300448,0.00040886784078868324,36,train,0.025,-0.020180451892325035,0.020130119827192084,-0.0022111855083194465,219651463019.43457,7611.144940694498,0.0157538929014374,215218797236.89206,7764.358200372805,0.015719058121754125
2.9593135452220576,0.0468581673124876,0.018307753041429724,214826207014.60974,7704.26774609306,0.0239161178339452,8.944908927832966,1.3118722457877574,0.65,2.0,0.002,4.0,5.005647718921999,20.022590875687996,45.050829470298,80.09036350275198,0.001980651292559024,0.0011699159110824294,37,train,0.025,-0.014881831760238485,-0.009702168792467375,0.003960978447094798,218071510546.26025,7779.748176060085,0.018235522529718,214826207014.60974,7704.26774609306,0.018307753041429724
1.0468416774522604,0.0276430673440384,0.017761675660134403,195023734202.22424,7854.241946443927,0.0399047027730508,7.955114617166657,31.32736244005344,0.65,2.0,0.002,4.0,36.62206053156935,146.4882421262774,329.5985447841242,585.9529685051097,0.000216671130809921,0.00011347897043622593,38,train,0.025,-0.016161360853038414,0.017830714204618774,0.012925976491760506,198227358066.88766,7716.648590803829,0.0175350184242006,195023734202.22424,7854.241946443927,0.017761675660134403
