L,b,h,E,rho,damping_ratio,force_amplitude,excitation_frequency,observation_point,simulation_time,time_step,number_of_modes,f1,f2,f3,f4,peak_displacement,rms_displacement,frequency_ratio,actual_f1,predicted_f1,error_f1,actual_f2,predicted_f2,error_f2,actual_f3,predicted_f3,error_f3,actual_f4,predicted_f4,error_f4,actual_peak_displacement,predicted_peak_displacement,error_peak_displacement,actual_rms_displacement,predicted_rms_displacement,error_rms_displacement
2.456963733803863,0.022590513503413,0.0050728600666591,209179803514.4392,7979.549502859651,0.0390426371477289,4.769237887181348,2.097084357701906,0.65,2.0,0.002,4,1.950991301639846,7.803965206559384,17.558921714758615,31.21586082623753,0.2652438052430529,0.1328213469111404,1.0748814492095715,1.950991301639846,2.0913398,-0.1403485249440164,7.803965206559384,8.381566,-0.5776008411090734,17.558921714758615,19.024708,-1.4657860794308384,31.21586082623753,33.176044,-1.960183637873797,0.2652438052430529,0.08015809,0.1850857131615061,0.1328213469111404,0.042234126,0.0905872204327067
2.7566615662135696,0.0209890146638413,0.0066784835501157,219649429717.31616,7671.243011345038,0.0381437813738056,4.860342964767217,2.427613495050456,0.65,2.0,0.002,4,2.1324182057935803,8.529672823174321,19.191763852142223,34.118691292697285,0.1399415584847196,0.0807647465710334,1.138432174540087,2.1324182057935803,2.3276641,-0.1952459310930163,8.529672823174321,9.259885,-0.7302120111152295,19.191763852142223,20.725964,-1.5341997403870735,34.118691292697285,37.44894,-3.330248984402324,0.1399415584847196,0.058356058,0.0815855006322129,0.0807647465710334,0.03127404,0.0494907072727374
2.7049171999449038,0.0691708157451518,0.0061493849324296,185729136951.1568,7740.018129692195,0.0101601326459792,7.607032737494786,2.06726916382919,0.65,2.0,0.002,4,1.8669041184563684,7.4676164738254736,16.802137066107317,29.87046589530189,0.1432891717733956,0.0704967901410945,1.1073247647760782,1.8669041184563684,1.896289,-0.0293848725180578,7.4676164738254736,7.6585584,-0.1909418948573877,16.802137066107317,17.106876,-0.3047393071836985,29.87046589530189,30.498392,-0.6279262098006484,0.1432891717733956,0.060926758,0.0823624140205002,0.0704967901410945,0.031923484,0.0385733060839064
2.5569028343009883,0.0570881949333337,0.0054310976687212,184806763337.68967,7920.648915036263,0.0269624012428843,9.583971066832252,1.7230653438010683,0.65,2.0,0.002,4,1.8195624528940275,7.278249811576109,16.37606207604625,29.11299924630444,0.2723226777781321,0.1255070194837914,0.9469668606650572,1.8195624528940275,1.840531,-0.0209685386602327,7.278249811576109,7.17545,0.1027999634010603,16.37606207604625,15.7775,0.5985619234583588,29.11299924630444,30.269907,-1.1569077513762238,0.2723226777781321,0.18683358,0.0854891024102045,0.1255070194837914,0.08825082,0.0372561961648331
2.9677929577444964,0.0217396290086189,0.0079409418449573,218569992231.19052,7736.710079985027,0.022503853781811,6.663381031978599,1.814057134578083,0.65,2.0,0.002,4,2.172957221959886,8.691828887839543,19.55661499763897,34.76731555135817,0.1538547663382672,0.0861287455147516,0.8348333396742642,2.172957221959886,1.8086106,0.3643466634500591,8.691828887839543,7.07136,1.620468776602971,19.55661499763897,15.686268,3.870347144855767,34.76731555135817,29.417574,5.3497416225251655,0.1538547663382672,0.09944009,0.0544146759800099,0.0861287455147516,0.053549483,0.0325792620962869
1.8514382860919685,0.0296784593514549,0.0075476991799309,210253828745.70657,7626.669680458083,0.0178261764768135,9.810360450917871,5.539153856287215,0.65,2.0,0.002,4,5.242396247518047,20.96958499007219,47.18156622766243,83.87833996028876,0.0698451016483708,0.0398113174750342,1.0566072449997774,5.242396247518047,5.0901413,0.1522549511313284,20.96958499007219,20.22781,0.7417750840663295,47.18156622766243,45.6046,1.576967228638992,83.87833996028876,81.35261,2.5257322332379744,0.0698451016483708,0.022447422,0.0473976795015736,0.0398113174750342,0.010156093,0.0296552243097557
2.665758185520857,0.0780190280131387,0.0060228560716899,193367860232.28583,7756.45975260496,0.0216061418424359,6.710984339977403,2.2738330732535794,0.65,2.0,0.002,4,1.9188923441770207,7.675569376708085,17.27003109759319,30.70227750683234,0.0641427245157604,0.0363574218060066,1.184971673973084,1.9188923441770207,2.0161622,-0.0972698128816951,7.675569376708085,8.221812,-0.5462428715218959,17.27003109759319,18.396793,-1.1267622678853255,30.70227750683234,32.27895,-1.5766722307164898,0.0641427245157604,0.031159373,0.0329833515154962,0.0363574218060066,0.01604719,0.0203102309311916
2.070827733712368,0.020130751899638,0.0073676341952577,190144110768.30173,7765.506221598218,0.0212985326581223,5.192622797769566,3.6300718411159534,0.65,2.0,0.002,4,3.855013621688679,15.420054486754715,34.69512259519811,61.68021794701886,0.0959053116717678,0.0510369381099283,0.9416495497429163,3.855013621688679,3.7930944,0.0619192250974922,15.420054486754715,15.014632,0.405422261718094,34.69512259519811,33.650524,1.0445984557938104,61.68021794701886,60.903805,0.7764131679661261,0.0959053116717678,0.061907317,0.0339979941823821,0.0510369381099283,0.030816115,0.0202208226709901
2.520096771522275,0.0222574115410208,0.0103001010979648,206148660382.3228,7930.500225031477,0.0474436301192985,6.36244661309509,3.8725606569062414,0.65,2.0,0.002,4,3.749525168065405,14.99810067226162,33.74572651258865,59.992402689046486,0.0610179422162491,0.0331257359560026,1.032813618611958,3.749525168065405,3.7567422,-0.0072170709330081,14.99810067226162,15.041963,-0.0438619513345717,33.74572651258865,33.959984,-0.2142573130949472,59.992402689046486,59.887928,0.1044746800132827,0.0610179422162491,0.02578387,0.0352340718470531,0.0331257359560026,0.013128401,0.019997335175742
2.90541351762965,0.0463584462067255,0.0064598846431946,206661859253.17743,7603.809212678194,0.0404151584572533,5.303965858683312,1.9565295442800248,0.65,2.0,0.002,4,1.8090587522250845,7.236235008900337,16.28152877002576,28.94494003560135,0.12657816747043,0.0627941426076313,1.0815179672155788,1.8090587522250845,1.6458541,0.1632046367389394,7.236235008900337,6.553536,0.6826990706373977,16.28152877002576,14.85178,1.429748832281618,28.94494003560135,26.19118,2.753760760088653,0.12657816747043,0.08386067,0.0427174944600807,0.0627941426076313,0.043507103,0.0192870397307296
2.1765159999384416,0.0611657819063269,0.005184540288329,198172718473.66983,7930.159804478529,0.018291156140484,4.639626009805656,2.471315591820922,0.65,2.0,0.002,4,2.4808285055534465,9.923314022213786,22.32745654998102,39.69325608885514,0.0985140488485558,0.0443862936954511,0.9961654287222075,2.4808285055534465,2.5580585,-0.0772299947364705,9.923314022213786,10.251542,-0.328228069155843,22.32745654998102,23.149502,-0.8220452505560907,39.69325608885514,40.826893,-1.133636763928067,0.0985140488485558,0.04786857,0.0506454803983433,0.0443862936954511,0.025147444,0.0192388500581992
2.34729107323243,0.0366629909497522,0.0050361221572544,193779848749.82416,7881.916937045176,0.0226900977354135,2.2698239825669373,2.1274503909800857,0.65,2.0,0.002,4,2.055085973228175,8.2203438929127,18.495773759053574,32.8813755716508,0.0967923034095716,0.0451798347561757,1.0352123554413828,2.055085973228175,2.1407883,-0.0857023434985095,8.2203438929127,8.264604,-0.0442597218944289,18.495773759053574,18.56918,-0.0734057758585358,32.8813755716508,34.534863,-1.653486946659747,0.0967923034095716,0.05493528,0.04185702317595,0.0451798347561757,0.028721478,0.0164583569198052
