output,parameter,overall_mean,high_response_mean,percentage_difference
peak_displacement,L,1.9906797419018556,2.595583967225233,30.38681775831326
peak_displacement,b,0.050372112529878346,0.04385270266393056,-12.94249841533008
peak_displacement,h,0.012484110556140236,0.007014698521743836,-43.81098685245383
peak_displacement,E,199901138274.51025,199071176638.0402,-0.41518604828069255
peak_displacement,rho,7800.438469315597,7798.560764551477,-0.024071784829865425
peak_displacement,damping_ratio,0.027443930090037698,0.02675263255648573,-2.5189451047425306
peak_displacement,force_amplitude,5.10916419313916,6.9656109903888535,36.3356260842551
peak_displacement,excitation_frequency,10.719636399255547,2.5021270610845523,-76.65847079236457
peak_displacement,frequency_ratio,1.108243473388965,1.0028060175060367,-9.513925271357989
rms_displacement,L,1.9906797419018556,2.5926867204500894,30.241277181687114
rms_displacement,b,0.050372112529878346,0.043847752087674496,-12.952326425328915
rms_displacement,h,0.012484110556140236,0.007060280600120969,-43.44586610018115
rms_displacement,E,199901138274.51025,199073714325.16495,-0.4139165772078111
rms_displacement,rho,7800.438469315597,7799.816064051073,-0.00797910613579247
rms_displacement,damping_ratio,0.027443930090037698,0.026689788533131767,-2.747935716319612
rms_displacement,force_amplitude,5.10916419313916,6.978308031548268,36.58414111879763
rms_displacement,excitation_frequency,10.719636399255547,2.4919625819407027,-76.75329191096665
rms_displacement,frequency_ratio,1.108243473388965,0.9880541488028995,-10.84502886523042
