L,b,h,E,rho,damping_ratio,force_amplitude,excitation_frequency,observation_point,simulation_time,time_step,number_of_modes,f1,f2,f3,f4,peak_displacement,rms_displacement,frequency_ratio
2.706806146536332,0.0340363691519204,0.0058745411253359,191255355680.87985,7717.437503106674,0.0347862431627102,5.614618308178655,2.9158098558517667,0.65,2.0,0.002,4,1.8099189894116303,7.239675957646522,16.289270904704672,28.95870383058609,0.0470015256187541,0.0209416166791363,1.6110167763915446
2.6588572297654727,0.0678090252995097,0.0084896111294965,201230783623.96213,7842.406328280004,0.0440482529199205,6.070760857653384,2.600101313454515,0.65,2.0,0.002,4,2.758351161500248,11.033404646000992,24.825160453502235,44.13361858400397,0.0391593599356757,0.0202125233532625,0.9426288246926247
2.7151442882451158,0.0477679619356109,0.0107763424415053,205582530849.4844,7706.585327000338,0.011289578492928,4.830985012835083,3.253746699710482,0.65,2.0,0.002,4,3.423551918743047,13.694207674972189,30.811967268687425,54.77683069988876,0.0416736675583426,0.0200741204543218,0.9504008634707929
2.862472471380204,0.0271840153100673,0.0067565534885016,183508360476.43076,7863.145314016211,0.023837373535567,7.765782019804248,2.543730250191356,0.65,2.0,0.002,4,1.8063487899711812,7.225395159884726,16.257139109740635,28.901580639538903,0.104299694339899,0.0493478366643519,1.4082165439554668
2.872254926751488,0.0462742422319251,0.0107497973416611,209187428347.09512,7821.19722610116,0.0471262994077308,7.824984789702983,3.247827318833815,0.65,2.0,0.002,4,3.0557283009188128,12.222913203675253,27.50155470826932,48.89165281470101,0.0432693908292126,0.0237614715373087,1.0628652154241727
2.1765159999384416,0.0611657819063269,0.005184540288329,198172718473.66983,7930.159804478529,0.018291156140484,4.639626009805656,2.471315591820922,0.65,2.0,0.002,4,2.4808285055534465,9.923314022213786,22.32745654998102,39.69325608885514,0.0985140488485558,0.0443862936954511,0.9961654287222075
2.3962415679572744,0.0702788131193229,0.0056022694932059,188071284428.7622,7649.969471722257,0.0277038945586843,7.477362470455561,2.926349677065983,0.65,2.0,0.002,4,2.193630366076126,8.774521464304504,19.742673294685133,35.09808585721802,0.0382368197815474,0.0184547844928859,1.3340213202375177
2.834675345103352,0.0578499344218845,0.0076625987365545,193554225424.3842,7676.64120386508,0.0061170409309357,9.281858539189864,2.1859792449266706,0.65,2.0,0.002,4,2.1712727998390906,8.685091199356362,19.54145519855181,34.74036479742545,0.1927778869172075,0.0848721552306425,1.0067731908623687
2.499967075870537,0.0407895716787829,0.0068580466229633,181637878411.4288,7910.937251011672,0.0270364883817607,9.856847677999768,2.4723451248639723,0.65,2.0,0.002,4,2.3842420841005483,9.536968336402191,21.458178756904932,38.14787334560877,0.2092137761057005,0.0988401404343139,1.0369522211485755
2.3561881217596565,0.0707604536784745,0.0056038060990988,197985307536.90723,7956.995075874931,0.038732837851529,9.91889639332652,2.640564916764631,0.65,2.0,0.002,4,2.283149582945521,9.132598331782084,20.54834624650969,36.53039332712834,0.0776493436644271,0.044240030228036,1.1565448608750388
2.157955049500485,0.0202771279305996,0.0055781299898515,207216752226.79688,7825.067205532773,0.0061939596742733,7.460253616101615,4.846362770901928,0.65,2.0,0.002,4,2.795126642233742,11.180506568934968,25.15613978010368,44.72202627573987,0.0412326208531652,0.0200575569931221,1.7338616067245272
2.793510743181397,0.048533670393976,0.0059049622786133,212888541843.7523,7859.273491866854,0.0401790671408275,4.338881648737845,2.407757268610212,0.65,2.0,0.002,4,1.7857910111321202,7.143164044528481,16.07211910018908,28.572656178113924,0.041101272866943,0.0193769478989121,1.348286139643961
2.815209782780965,0.0681632363173019,0.0089904630893249,190965375747.54437,7701.891340046987,0.0110767143225306,9.44360384422674,2.365880425697972,0.65,2.0,0.002,4,2.5613469639474733,10.245387855789891,23.05212267552726,40.98155142315957,0.0889863865616995,0.0432868700469643,0.923686036682725
2.311745721965681,0.0365018624378151,0.0059742016881491,182197399567.9068,7832.690919183486,0.005977555506684,8.503041920047279,1.1728101935806323,0.65,2.0,0.002,4,2.444807118171444,9.779228472685777,22.003264063542996,39.1169138907431,0.0432333308374569,0.0246180355071106,0.47971481466309607
2.456963733803863,0.022590513503413,0.0050728600666591,209179803514.4392,7979.549502859651,0.0390426371477289,4.769237887181348,2.097084357701906,0.65,2.0,0.002,4,1.950991301639846,7.803965206559384,17.558921714758615,31.21586082623753,0.2652438052430529,0.1328213469111404,1.0748814492095715
2.8005561992308188,0.0635420582433521,0.0060293128566328,207673882451.4261,7852.651416868527,0.0390807244732963,8.299158739644424,2.676455949131304,0.65,2.0,0.002,4,1.7926325203906024,7.17053008156241,16.133692683515424,28.68212032624964,0.0422270943265703,0.0207142929757576,1.4930310137116796
2.5629316788048437,0.0426369103436817,0.0051859582087369,200389386395.05777,7802.876047726371,0.0246645179740153,3.46319883620456,1.1786866395347764,0.65,2.0,0.002,4,1.8142378031705204,7.256951212682082,16.328140228534686,29.027804850728327,0.0452559090360627,0.0231358969372223,0.6496869580574998
2.682240129008643,0.0794600148845893,0.0074267368668839,211980504228.7292,7954.969159254694,0.0071993919582894,7.565496545837177,2.0261269157160227,0.65,2.0,0.002,4,2.416354725006266,9.665418900025063,21.747192525056395,38.66167560010025,0.0458247864159012,0.0253215468992505,0.8385055781537907
2.998780073029054,0.0204489797664059,0.007415685242299,206965772035.72537,7623.9963338341395,0.0315405492735136,6.871601025254456,2.4522167064669205,0.65,2.0,0.002,4,1.9482704070306252,7.793081628122501,17.534433663275628,31.17232651249001,0.1430383323815005,0.071935292156381,1.2586634266053263
2.7340112017131952,0.0418806974227277,0.0050654543227207,200289367102.43283,7974.806000350505,0.0165798809237742,4.965980413223115,0.7897008794611236,0.65,2.0,0.002,4,1.5399831250025404,6.159932500010162,13.859848125022864,24.639730000040647,0.0627634768780152,0.0360649313538367,0.5127983980083034
2.3292803818524384,0.022016598151175,0.0091345257662505,183769194577.844,7676.290862929087,0.0337428910803821,6.32191863902869,3.578096219265147,0.65,2.0,0.002,4,3.735359160257211,14.941436641028844,33.6182324423149,59.765746564115375,0.0865204853531879,0.0449827896574664,0.9578988433922817
2.4373793430090487,0.0228418263979572,0.0059282821553836,181020062558.40796,7839.847559805147,0.0082204025027878,9.340544732764814,4.1016869971386045,0.65,2.0,0.002,4,2.174309751314901,8.697239005259604,19.568787761834116,34.788956021038416,0.0566441234860372,0.029506683038059,1.8864317720408206
