model,training_percentage,training_samples,repeat,output,rmse,mae,r2,number_of_test_samples,prediction_time_seconds
physics_guided_NN,10,350,3,f2,1.3453327719576853,1.0001861086086117,0.9979477988423392,750,0.0005840839876327664
physics_guided_NN,10,350,3,f3,2.934452208291037,2.1481345578077256,0.998071367280255,750,0.0005840839876327664
physics_guided_NN,10,350,3,f4,5.422966136225897,4.010396790543688,0.9979159204729129,750,0.0005840839876327664
physics_guided_NN,10,350,3,peak_displacement,0.010727832245325577,0.00272314313181133,0.7713814900751268,750,0.0005840839876327664
physics_guided_NN,10,350,3,rms_displacement,0.00504419467559451,0.0014471902881287063,0.7999933801528638,750,0.0005840839876327664
standard_NN,25,875,1,f1,0.8210456747303921,0.49106976838322286,0.9877703197377152,750,0.0005899999960092828
standard_NN,25,875,1,f2,3.2740756517671055,1.900897672721389,0.9878454774059804,750,0.0005899999960092828
standard_NN,25,875,1,f3,7.46313382946404,4.474899711383764,0.9875250760204732,750,0.0005899999960092828
standard_NN,25,875,1,f4,13.325511776176988,7.754748035553544,0.9874163017037261,750,0.0005899999960092828
standard_NN,25,875,1,peak_displacement,0.016133626448155535,0.006181281824125932,0.482927504712924,750,0.0005899999960092828
standard_NN,25,875,1,rms_displacement,0.008235037183006564,0.0032669996109684156,0.46692069802977054,750,0.0005899999960092828
physics_guided_NN,25,875,1,f1,0.2545591469173533,0.18781049556685048,0.9988244045907907,750,0.0005707919917767867
physics_guided_NN,25,875,1,f2,1.0200548444354738,0.7467431712651665,0.9988202023399156,750,0.0005707919917767867
physics_guided_NN,25,875,1,f3,2.318681329821091,1.7090393021923225,0.9987958583486929,750,0.0005707919917767867
physics_guided_NN,25,875,1,f4,3.9876601535639082,2.955068820514233,0.998873122312784,750,0.0005707919917767867
physics_guided_NN,25,875,1,peak_displacement,0.0067759609185346755,0.001709867945859602,0.9087927781635491,750,0.0005707919917767867
physics_guided_NN,25,875,1,rms_displacement,0.0033942295029818523,0.0009067305684905652,0.9094386058567117,750,0.0005707919917767867
standard_NN,25,875,2,f1,1.002938218654696,0.60551761760067,0.9817514303292244,750,0.0005663330084644258
standard_NN,25,875,2,f2,3.8739961672800067,2.356415392176361,0.9829831622333516,750,0.0005663330084644258
standard_NN,25,875,2,f3,8.633115423058152,5.559389317551739,0.983307147975342,750,0.0005663330084644258
standard_NN,25,875,2,f4,15.368903546563471,9.869388010101193,0.9832611247616097,750,0.0005663330084644258
standard_NN,25,875,2,peak_displacement,0.0157606145558894,0.005848636700175314,0.5065606971939524,750,0.0005663330084644258
standard_NN,25,875,2,rms_displacement,0.007927369496075039,0.0030157599006602697,0.506009162327488,750,0.0005663330084644258
physics_guided_NN,25,875,2,f1,0.2760462409376321,0.2059255350586131,0.9986175668395683,750,0.0005928329919697717
physics_guided_NN,25,875,2,f2,1.1209313148104538,0.8424779802699459,0.9985753161902945,750,0.0005928329919697717
physics_guided_NN,25,875,2,f3,2.6433082405202217,2.0000181204974457,0.9984350838642772,750,0.0005928329919697717
physics_guided_NN,25,875,2,f4,4.671028172423618,3.4710669063736406,0.998453800688038,750,0.0005928329919697717
physics_guided_NN,25,875,2,peak_displacement,0.006351800212982454,0.0020252135327678378,0.9198541385220746,750,0.0005928329919697717
physics_guided_NN,25,875,2,rms_displacement,0.0032163361899294643,0.0010298274054975245,0.9186825846461523,750,0.0005928329919697717
standard_NN,25,875,3,f1,1.1683075094446944,0.6827146553230453,0.9752374820112454,750,0.0005447919975267723
standard_NN,25,875,3,f2,4.733887418275181,2.7290831247097667,0.9745904873413073,750,0.0005447919975267723
standard_NN,25,875,3,f3,11.23477511639893,6.350467653153296,0.9717301036514486,750,0.0005447919975267723
standard_NN,25,875,3,f4,18.314757620507226,10.542491083091834,0.9762292517022836,750,0.0005447919975267723
standard_NN,25,875,3,peak_displacement,0.016702032731762906,0.006016000880840238,0.4458515748465036,750,0.0005447919975267723
standard_NN,25,875,3,rms_displacement,0.008372189353900251,0.003157149853484549,0.4490162685245045,750,0.0005447919975267723
physics_guided_NN,25,875,3,f1,0.2770094948516291,0.21757179105092087,0.9986079021001101,750,0.0005756249884143472
physics_guided_NN,25,875,3,f2,1.0700222072217502,0.8537909336304982,0.9987017866606869,750,0.0005756249884143472
physics_guided_NN,25,875,3,f3,2.421012719293785,1.8632356876336673,0.9986872271358362,750,0.0005756249884143472
physics_guided_NN,25,875,3,f4,4.463200668587699,3.4718404594363657,0.9985883295324411,750,0.0005756249884143472
physics_guided_NN,25,875,3,peak_displacement,0.00636043532376725,0.002223713564631132,0.9196360778796523,750,0.0005756249884143472
physics_guided_NN,25,875,3,rms_displacement,0.0028473605954175735,0.0011613873210624946,0.9362697484666369,750,0.0005756249884143472
standard_NN,50,1750,1,f1,0.7599502152393346,0.45875503245659577,0.989522666877386,750,0.0006787089951103553
standard_NN,50,1750,1,f2,2.9599466371032057,1.789118125590379,0.990065906390388,750,0.0006787089951103553
standard_NN,50,1750,1,f3,6.726816961552534,4.0328020621540634,0.9898652119669784,750,0.0006787089951103553
standard_NN,50,1750,1,f4,11.778678002161557,7.16616919568757,0.990168187190088,750,0.0006787089951103553
standard_NN,50,1750,1,peak_displacement,0.015750985761648365,0.005430464384900733,0.5071634369085487,750,0.0006787089951103553
standard_NN,50,1750,1,rms_displacement,0.007926046691771037,0.0028478436856990163,0.5061740086077436,750,0.0006787089951103553
physics_guided_NN,50,1750,1,f1,0.19724286666770283,0.14658398873191317,0.9992941976837094,750,0.0005872920010006055
physics_guided_NN,50,1750,1,f2,0.7687843516336693,0.5756157714436301,0.9993298538071775,750,0.0005872920010006055
physics_guided_NN,50,1750,1,f3,1.8062733812789569,1.3509148540791078,0.9992692607880467,750,0.0005872920010006055
physics_guided_NN,50,1750,1,f4,3.09473753816703,2.3492749629435865,0.9993212839052504,750,0.0005872920010006055
physics_guided_NN,50,1750,1,peak_displacement,0.004620590232675234,0.001178561032702655,0.9575886248883928,750,0.0005872920010006055
physics_guided_NN,50,1750,1,rms_displacement,0.00227324831765614,0.0005857412220781959,0.9593786410540321,750,0.0005872920010006055
standard_NN,50,1750,2,f1,0.7478318748733953,0.4925905635947188,0.989854150589998,750,0.0005732090066885576
standard_NN,50,1750,2,f2,2.899443208693868,1.9046010939318043,0.9904678756701127,750,0.0005732090066885576
standard_NN,50,1750,2,f3,6.395260690140276,4.411842622377479,0.9908396524070922,750,0.0005732090066885576
standard_NN,50,1750,2,f4,11.29837131711852,7.493746067708789,0.9909536749318698,750,0.0005732090066885576
standard_NN,50,1750,2,peak_displacement,0.015219838538200036,0.005545473037426277,0.5398414108719353,750,0.0005732090066885576
standard_NN,50,1750,2,rms_displacement,0.00766680097359103,0.0028872135644079037,0.537949898333785,750,0.0005732090066885576
physics_guided_NN,50,1750,2,f1,0.20211003968319485,0.15858879106302168,0.9992589351023115,750,0.0005797089979751036
physics_guided_NN,50,1750,2,f2,0.8090903044844792,0.6322140967823825,0.999257742697602,750,0.0005797089979751036
physics_guided_NN,50,1750,2,f3,1.7668171573412137,1.3578159728800974,0.9993008366336292,750,0.0005797089979751036
physics_guided_NN,50,1750,2,f4,3.1238953526525743,2.429766563800046,0.999308434282119,750,0.0005797089979751036
physics_guided_NN,50,1750,2,peak_displacement,0.004639224058724477,0.0012850672384498623,0.9572458636082048,750,0.0005797089979751036
physics_guided_NN,50,1750,2,rms_displacement,0.0022868504182472667,0.0006738084174697105,0.9588910666260785,750,0.0005797089979751036
standard_NN,50,1750,3,f1,0.7876316920476369,0.47584242448324304,0.9887454837429257,750,0.0005428339936770499
standard_NN,50,1750,3,f2,3.3906009940052697,2.1306300194903027,0.9869649153743274,750,0.0005428339936770499
standard_NN,50,1750,3,f3,7.515333024401685,4.290849627655053,0.9873499597027565,750,0.0005428339936770499
standard_NN,50,1750,3,f4,13.11460975716028,8.325480965143157,0.9878114723587121,750,0.0005428339936770499
standard_NN,50,1750,3,peak_displacement,0.016078098377600124,0.005512178442032595,0.4864806585088628,750,0.0005428339936770499
standard_NN,50,1750,3,rms_displacement,0.008067650309675552,0.0029155340370098713,0.4883713892944668,750,0.0005428339936770499
physics_guided_NN,50,1750,3,f1,0.2025185015565281,0.15661915155962527,0.9992559367096533,750,0.0005968339974060655
physics_guided_NN,50,1750,3,f2,0.7407816856127736,0.5752541666986704,0.999377784309675,750,0.0005968339974060655
physics_guided_NN,50,1750,3,f3,1.7842271728370174,1.3673849983069697,0.9992869897927869,750,0.0005968339974060655
physics_guided_NN,50,1750,3,f4,3.1298076463187523,2.3708084306085406,0.9993058140862854,750,0.0005968339974060655
physics_guided_NN,50,1750,3,peak_displacement,0.003372311618108888,0.0013084676717177203,0.9774086158801213,750,0.0005968339974060655
physics_guided_NN,50,1750,3,rms_displacement,0.0017129187011079067,0.0006870588874137443,0.9769360231617618,750,0.0005968339974060655
standard_NN,75,2625,1,f1,0.4966644224879019,0.33898070090711774,0.9955248605766578,750,0.0007385839999187738
standard_NN,75,2625,1,f2,1.9524036876616186,1.315464285013413,0.9956778511088559,750,0.0007385839999187738
standard_NN,75,2625,1,f3,4.379144658831987,2.918928695522037,0.9957048925571563,750,0.0007385839999187738
standard_NN,75,2625,1,f4,7.558926098062557,5.063283695855644,0.9959508795026785,750,0.0007385839999187738
standard_NN,75,2625,1,peak_displacement,0.017235671238528705,0.005648170069052893,0.40987522814970245,750,0.0007385839999187738
standard_NN,75,2625,1,rms_displacement,0.008645302740841992,0.0029187630659980655,0.4124820992157463,750,0.0007385839999187738
physics_guided_NN,75,2625,1,f1,0.17603534807652133,0.1288208682009541,0.9994378137306248,750,0.0005783750093542039
physics_guided_NN,75,2625,1,f2,0.6651762903162891,0.4867214111406748,0.9994983116611416,750,0.0005783750093542039
physics_guided_NN,75,2625,1,f3,1.5726394947450852,1.1270788854967304,0.9994460713792003,750,0.0005783750093542039
physics_guided_NN,75,2625,1,f4,2.791152219819468,2.023963278215233,0.9994479129675178,750,0.0005783750093542039
physics_guided_NN,75,2625,1,peak_displacement,0.002977909930153384,0.0008973236036290661,0.982383867900414,750,0.0005783750093542039
physics_guided_NN,75,2625,1,rms_displacement,0.0015846997541355847,0.000492491938225772,0.9802596579977286,750,0.0005783750093542039
standard_NN,75,2625,2,f1,0.6480604924280333,0.40103105327708605,0.9923807616338829,750,0.000573708995943889
standard_NN,75,2625,2,f2,2.563407952877984,1.5724577078325916,0.9925493195110283,750,0.000573708995943889
standard_NN,75,2625,2,f3,5.630511992425972,3.6075647020766177,0.9928994625160954,750,0.000573708995943889
standard_NN,75,2625,2,f4,10.27837960919215,6.42947316967832,0.9925133107186778,750,0.000573708995943889
standard_NN,75,2625,2,peak_displacement,0.015386760711876614,0.005433644193991728,0.5296925674771784,750,0.000573708995943889
standard_NN,75,2625,2,rms_displacement,0.007737008745509256,0.002826180687420006,0.5294488198171893,750,0.000573708995943889
physics_guided_NN,75,2625,2,f1,0.1831607724979696,0.14060053907177839,0.9993913811476903,750,0.0005760000058216974
physics_guided_NN,75,2625,2,f2,0.719998211607272,0.5551989612380176,0.9994122084743993,750,0.0005760000058216974
physics_guided_NN,75,2625,2,f3,1.7745029407666413,1.369715185894405,0.9992947405800495,750,0.0005760000058216974
physics_guided_NN,75,2625,2,f4,2.962522754615546,2.258421626186839,0.9993780379420297,750,0.0005760000058216974
physics_guided_NN,75,2625,2,peak_displacement,0.0038276526772620346,0.0010740491231013554,0.9708960129751174,750,0.0005760000058216974
physics_guided_NN,75,2625,2,rms_displacement,0.0019743867794780536,0.0005663268482683878,0.9693574318876564,750,0.0005760000058216974
standard_NN,75,2625,3,f1,0.7558524013007536,0.4603644327963987,0.9896353542765433,750,0.0005640840099658817
standard_NN,75,2625,3,f2,3.0985253389709655,1.8254943475345902,0.9891139433724311,750,0.0005640840099658817
standard_NN,75,2625,3,f3,6.95104800322288,4.055870411743862,0.9891782866938735,750,0.0005640840099658817
standard_NN,75,2625,3,f4,12.08717087107811,7.4320440121192,0.9896464371177627,750,0.0005640840099658817
standard_NN,75,2625,3,peak_displacement,0.01593005517366486,0.005567255616691807,0.49589384233019795,750,0.0005640840099658817
standard_NN,75,2625,3,rms_displacement,0.007962497274432358,0.0028671181940499355,0.5016215158199149,750,0.0005640840099658817
physics_guided_NN,75,2625,3,f1,0.28266596727744103,0.2216552444922021,0.9985504689802407,750,0.0005812500021420419
physics_guided_NN,75,2625,3,f2,1.1117054330665102,0.8718704114630977,0.9985986715433782,750,0.0005812500021420419
physics_guided_NN,75,2625,3,f3,2.4603586879074975,1.9068386398149548,0.9986442103910455,750,0.0005812500021420419
physics_guided_NN,75,2625,3,f4,4.624386127960685,3.615915746613408,0.9984845253301058,750,0.0005812500021420419
physics_guided_NN,75,2625,3,peak_displacement,0.00381572394566932,0.001304650628824249,0.971077133208376,750,0.0005812500021420419
physics_guided_NN,75,2625,3,rms_displacement,0.0018923393989061575,0.0007253000668581022,0.9718512732889085,750,0.0005812500021420419
standard_NN,100,3500,1,f1,0.46303865585886067,0.3118754879114985,0.9961103102257935,750,0.0005669580132234842
standard_NN,100,3500,1,f2,1.8426395239616562,1.2281727096829653,0.9961501726828998,750,0.0005669580132234842
standard_NN,100,3500,1,f3,4.1073257791420525,2.843577851044164,0.9962215493808902,750,0.0005669580132234842
standard_NN,100,3500,1,f4,7.271523523785679,4.945962959175913,0.9962529341166634,750,0.0005669580132234842
standard_NN,100,3500,1,peak_displacement,0.015887627719573614,0.005314479617941472,0.4985754976976855,750,0.0005669580132234842
standard_NN,100,3500,1,rms_displacement,0.00799193244979956,0.0027989634127534723,0.4979299671005284,750,0.0005669580132234842
physics_guided_NN,100,3500,1,f1,0.11781345162142966,0.08625298047787346,0.9997481915919624,750,0.0005686249933205545
physics_guided_NN,100,3500,1,f2,0.5016412933012537,0.36814527414041426,0.9997146702586481,750,0.0005686249933205545
physics_guided_NN,100,3500,1,f3,1.170365512753171,0.8495565502793407,0.9996932119205794,750,0.0005686249933205545
physics_guided_NN,100,3500,1,f4,1.9849494677134152,1.4786624339755063,0.9997207845713165,750,0.0005686249933205545
physics_guided_NN,100,3500,1,peak_displacement,0.003358762762452658,0.001040820559382711,0.9775897809426023,750,0.0005686249933205545
