model,training_percentage,training_samples,output,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,repeats
physics_guided_NN,5,175,f1,0.5075410607294814,0.027050738399450037,0.35608134977719014,0.02636977582971557,0.9953178588198401,0.0004909226385934584,3
physics_guided_NN,5,175,f2,2.1654900673221884,0.15749532970906718,1.5116476977934559,0.09299390810470073,0.9946641737451488,0.0007675257966353935,3
physics_guided_NN,5,175,f3,4.723092228398986,0.20165094968660105,3.3290287721256693,0.21399566884123997,0.9949976307512355,0.0004215512344815473,3
physics_guided_NN,5,175,f4,8.468686305933545,0.7035496836172367,5.9919914454060015,0.11378388207380091,0.9948941710107041,0.0008601100027846484,3
physics_guided_NN,5,175,peak_displacement,0.013109143571542081,0.0016451870152851239,0.004172147903976099,0.00037928047012414655,0.6550370810159395,0.08395330480809035,3
physics_guided_NN,5,175,rms_displacement,0.006552497326881532,0.000915981169360316,0.0021558768892506776,0.00022988465904529902,0.6581026599546714,0.09199739719665197,3
physics_guided_NN,10,350,f1,0.3545364340176435,0.024286238368449765,0.2553452747023607,0.013835319125311855,0.9977125126974689,0.000306237238008684,3
physics_guided_NN,10,350,f2,1.4384125349705112,0.0808950193696239,1.0359287874229075,0.04028994210649727,0.9976490565980715,0.0002597271962625506,3
physics_guided_NN,10,350,f3,3.224361883550955,0.25945109133835725,2.344887425434926,0.17040849965345245,0.9976614125991187,0.0003685032064352416,3
physics_guided_NN,10,350,f4,5.7157296058178515,0.2539587166366781,4.168807847645737,0.18775277880579289,0.997681777823805,0.00020313435371237964,3
physics_guided_NN,10,350,peak_displacement,0.01093040045925407,0.0012908136768830934,0.003103635073125077,0.0003366832946418763,0.7604596033918175,0.05684234737814524,3
physics_guided_NN,10,350,rms_displacement,0.0053070291583635874,0.0006869356399814613,0.0016003500368661058,0.00013858643775656267,0.7761342541176922,0.059141740118106786,3
physics_guided_NN,25,875,f1,0.26920496090220486,0.012692787912230373,0.20376927389212815,0.014997358897022682,0.998683291176823,0.00012230330534544658,3
physics_guided_NN,25,875,f2,1.0703361221558927,0.0504389678301209,0.8143373617218702,0.05881094002018124,0.9986991017302991,0.00012246515099185868,3
physics_guided_NN,25,875,f3,2.461000763211699,0.16596668499973455,1.8574310367744786,0.1455762297020337,0.9986393897829354,0.00018508340390421154,3
physics_guided_NN,25,875,f4,4.373962998191742,0.350314835060313,3.299325395441413,0.29813519019319107,0.9986384175110877,0.0002141010519558369,3
physics_guided_NN,25,875,peak_displacement,0.006496065485094793,0.00024243500475372974,0.001986265014419524,0.00025912751743846295,0.9160943315217587,0.006324270605613687,3
physics_guided_NN,25,875,rms_displacement,0.00315264209610963,0.00027894283232552205,0.001032648431683528,0.00012735181211579523,0.921463646323167,0.01363005067771411,3
physics_guided_NN,50,1750,f1,0.2006238026358086,0.0029350905081130156,0.15393064378485335,0.006438157756183347,0.9992696898318915,2.127730457984868e-05,3
physics_guided_NN,50,1750,f2,0.7728854472436407,0.03433847829973802,0.5943613449748942,0.03278194326221935,0.9993217936048181,6.04253448796679e-05,3
physics_guided_NN,50,1750,f3,1.7857725704857295,0.019773456760916016,1.358705275088725,0.008271006984360809,0.9992856957381543,1.582764793348944e-05,3
physics_guided_NN,50,1750,f4,3.1161468457127857,0.018775186851010078,2.383283319117391,0.04167063215971269,0.9993118440912183,8.279427714043136e-06,3
physics_guided_NN,50,1750,peak_displacement,0.004210708636502866,0.000726132890872768,0.0012573653142900793,6.924219209891749e-05,0.9640810347922396,0.011543296087528174,3
physics_guided_NN,50,1750,rms_displacement,0.002091005812337104,0.00032750366722122747,0.0006488695089872169,5.5070674541766715e-05,0.9650685769472908,0.010280400865030513,3
physics_guided_NN,75,2625,f1,0.21395402928397733,0.05961284035683626,0.1636922172549782,0.050541809982761886,0.9991265546195186,0.0004994446856521298,3
physics_guided_NN,75,2625,f2,0.832293311663357,0.24352558582983933,0.6379302612805967,0.20547089603491747,0.9991697305596396,0.0004964219371984957,3
physics_guided_NN,75,2625,f3,1.9358337078064078,0.46533004821573754,1.4678775704020302,0.3990403600048141,0.9991283407834318,0.0004260421696463525,3
physics_guided_NN,75,2625,f4,3.459353700798566,1.0125795683814267,2.632766883671827,0.8594643356538345,0.9991034920798844,0.0005371782830638542,3
physics_guided_NN,75,2625,peak_displacement,0.003540428851028246,0.00048719218581173623,0.0010920077851848903,0.00020425648464972236,0.9747856713613025,0.006580854360943478,3
physics_guided_NN,75,2625,rms_displacement,0.0018171419775065987,0.000205438515300619,0.000594706284450754,0.00011897037651383498,0.9738227877247646,0.005712248718051093,3
physics_guided_NN,100,3500,f1,0.14639893286308966,0.025874957865973467,0.11259722085729239,0.02385168627016649,0.9996030756572972,0.00013311764963083324,3
physics_guided_NN,100,3500,f2,0.6060030332232543,0.09440982481803417,0.46299489904715235,0.08794404709403322,0.9995768630386181,0.00012610364745814888,3
physics_guided_NN,100,3500,f3,1.3707817090374792,0.18534498477360947,1.0512515733936387,0.18339666805610358,0.9995740160354273,0.0001117647580507736,3
physics_guided_NN,100,3500,f4,2.407917355944505,0.3996138383182781,1.877237643843413,0.3892488360230954,0.9995815673152116,0.00013436072678691183,3
physics_guided_NN,100,3500,peak_displacement,0.0036828021407861095,0.0004159930698913633,0.0011082707643457143,0.00013666487954673264,0.9728279320265446,0.006245803351142239,3
physics_guided_NN,100,3500,rms_displacement,0.0018966164404839961,0.000175168085998122,0.0005651210286394243,7.979536329030289e-05,0.9715630891598819,0.005173228027621875,3
standard_NN,5,175,f1,1.5795565250573438,0.07899120195719392,0.9753572612519733,0.03609158326619701,0.9546607556221772,0.00455368621678228,3
standard_NN,5,175,f2,6.338688792463408,0.36041501501646983,3.925151380610142,0.17558574888991385,0.9543443647891761,0.005255886254981515,3
standard_NN,5,175,f3,14.027010399599243,1.4525591977315264,8.817109135424044,0.5790664802980201,0.955616717474439,0.009399721535720246,3
standard_NN,5,175,f4,24.46575376588979,1.7637698254585794,15.003542250425488,0.8612960321784118,0.9574342944625994,0.0062330854329951104,3
standard_NN,5,175,peak_displacement,0.017773800291553874,0.000984894517998008,0.006882009056398725,0.0005014895916208396,0.3711658097338115,0.06858405601969016,3
standard_NN,5,175,rms_displacement,0.00890629259524303,0.0005571794043109075,0.003519910011534009,0.00018643078297919563,0.37484704545386566,0.07681487833966169,3
standard_NN,10,350,f1,1.2789071750673562,0.09191793932523584,0.7474751155278815,0.037299919202839996,0.9702250153335082,0.004186590063791803,3
standard_NN,10,350,f2,5.111900799329908,0.3394105427194128,2.978838319136377,0.16727132845518933,0.9702833516870766,0.0038674153606697696,3
standard_NN,10,350,f3,11.370675117642838,0.8351864801460454,6.69607973360293,0.20926575090844315,0.9709378880273317,0.004328899430629706,3
standard_NN,10,350,f4,20.127462875371858,0.8145686783958579,11.740054058610689,0.32985679229960957,0.9712596189510446,0.002311713691534978,3
standard_NN,10,350,peak_displacement,0.017288750875560588,0.0008872110479800486,0.006210623017001417,0.0004893241621543095,0.40519245175276364,0.061046181388451505,3
standard_NN,10,350,rms_displacement,0.008676347162615342,0.0004119122531030089,0.003211500312435138,0.00022220017469934162,0.4073659289774259,0.0561943830185943,3
standard_NN,25,875,f1,0.9974304676099276,0.17369642182113076,0.5931006804356461,0.09642393851614056,0.9815864106927283,0.006268048259213397,3
standard_NN,25,875,f2,3.960653079107431,0.7337538168108267,2.328798729869172,0.41478282962176755,0.981806375660213,0.00670539412582775,3
standard_NN,25,875,f3,9.11034145630704,1.9305771195256154,5.461585560696267,0.9416012729333378,0.9808541092157546,0.008178223364618495,3
standard_NN,25,875,f4,15.669724314415895,2.5081892621112396,9.388875709582189,1.4546638367633486,0.982302226055873,0.0056548330638128644,3
standard_NN,25,875,peak_displacement,0.016198757911935948,0.0004740766036695798,0.006015306468380495,0.00016632364918594267,0.4784465922511267,0.030601606435236264,3
standard_NN,25,875,rms_displacement,0.008178198677660618,0.00022779187484715381,0.003146636455037745,0.0001259493813764332,0.4739820429605877,0.029145229973076617,3
standard_NN,50,1750,f1,0.7651379273867889,0.020400750715829023,0.4757293401781859,0.01691804902743696,0.9893741004034365,0.00056906901368431,3
standard_NN,50,1750,f2,3.0833302799341147,0.26781828728947776,1.9414497463374953,0.17371229319442183,0.9891662324782761,0.0019169618070173553,3
standard_NN,50,1750,f3,6.879136892031499,0.5753620854820797,4.2451647707288656,0.19360595597216249,0.9893516080256091,0.0018006472583812789,3
standard_NN,50,1750,f4,12.063886358813454,0.9411101810093161,7.661798742846504,0.5976472378546296,0.9896444448268901,0.001635264137668833,3
standard_NN,50,1750,peak_displacement,0.015682974225816174,0.00043315316544665397,0.005496038621453202,5.917869460529335e-05,0.5111618354297822,0.026904142176238172,3
standard_NN,50,1750,rms_displacement,0.007886832658345872,0.00020328146219700623,0.0028835304290389303,3.399514715009173e-05,0.5108317654119985,0.025115297399714926,3
standard_NN,75,2625,f1,0.6335257720722296,0.13020386193250524,0.40012539566020083,0.06069693364274245,0.992513658829028,0.002947001418922337,3
standard_NN,75,2625,f2,2.538112326503523,0.573479390593309,1.571138780126865,0.2550175892885795,0.9924470379974384,0.003283148995109861,3
standard_NN,75,2625,f3,5.65356821816028,1.2861066811820463,3.5274546031141725,0.5726886916014552,0.992594213922375,0.003273992753754292,3
standard_NN,75,2625,f4,9.974825526110939,2.279333014744034,6.308266959217722,1.189022526307605,0.9927035424463729,0.003156523329368406,3
standard_NN,75,2625,peak_displacement,0.01618416237469006,0.0009502870019635504,0.005549689959912143,0.00010833629120135762,0.4784872126523596,0.06177614238874852,3
standard_NN,75,2625,rms_displacement,0.008114936253594536,0.00047294579738631914,0.002870687315822669,4.6394268810535534e-05,0.4811841449509502,0.06110292978320035,3
standard_NN,100,3500,f1,0.5157500868775406,0.10002882138188335,0.3357258554753142,0.04947123185088882,0.9950532986072034,0.0019755676449949087,3
standard_NN,100,3500,f2,2.0709508943301866,0.44803159897954015,1.3405556241265357,0.2230619126198534,0.9949853115687711,0.0022330619369299995,3
standard_NN,100,3500,f3,4.603229229399855,0.9834202872014441,2.9806617282075685,0.3895787220358971,0.9951096722823328,0.0021501545732769273,3
standard_NN,100,3500,f4,8.221795928277944,1.8018334541556753,5.4593317720306755,1.0421702798631645,0.9950561932668172,0.0022311447422507045,3
standard_NN,100,3500,peak_displacement,0.015796743137862102,0.0003146689860696629,0.005383922669596843,0.000431711673586989,0.5041647189524257,0.019670784404805273,3
standard_NN,100,3500,rms_displacement,0.007949577865336241,0.00016277327854030568,0.002820681798127757,0.0002606140298954615,0.5030986274400872,0.020267563487223157,3
