model,training_percentage,training_samples,repeat,epoch,training_loss,validation_loss
standard_NN,25,875,2,1,0.9453412847859519,0.8220592737197876
standard_NN,25,875,2,2,0.7666980837072644,0.5976438522338867
standard_NN,25,875,2,3,0.5207416383283479,0.405422568321228
standard_NN,25,875,2,4,0.38617357718093054,0.3424523174762726
standard_NN,25,875,2,5,0.3352525383234024,0.30273520946502686
standard_NN,25,875,2,6,0.2914310001901218,0.2724849581718445
standard_NN,25,875,2,7,0.2509485823767526,0.2464016079902649
standard_NN,25,875,2,8,0.2263038493692875,0.23053187131881714
standard_NN,25,875,2,9,0.20919412055185863,0.214389368891716
standard_NN,25,875,2,10,0.1954249252698251,0.20601239800453186
standard_NN,25,875,2,11,0.1868005623774869,0.1979602575302124
standard_NN,25,875,2,12,0.18488031466092383,0.1860232949256897
standard_NN,25,875,2,13,0.16731700886573111,0.18073418736457825
standard_NN,25,875,2,14,0.15732372126408986,0.1776217520236969
standard_NN,25,875,2,15,0.15159312968275376,0.17236392199993134
standard_NN,25,875,2,16,0.14333229964332922,0.16711270809173584
standard_NN,25,875,2,17,0.13571564799972943,0.1649409532546997
standard_NN,25,875,2,18,0.13171449143971717,0.16233597695827484
standard_NN,25,875,2,19,0.13212041091173887,0.1598111242055893
standard_NN,25,875,2,20,0.12338523167584624,0.1648101806640625
standard_NN,25,875,2,21,0.11773917371673244,0.15792249143123627
standard_NN,25,875,2,22,0.11906507750973105,0.15950435400009155
standard_NN,25,875,2,23,0.11437233830136913,0.15675805509090424
standard_NN,25,875,2,24,0.11076151579618454,0.15872900187969208
standard_NN,25,875,2,25,0.10589025701795306,0.15545018017292023
standard_NN,25,875,2,26,0.10324803234211036,0.1622200459241867
standard_NN,25,875,2,27,0.10362909255283219,0.1595645695924759
standard_NN,25,875,2,28,0.10566466887082372,0.1579229086637497
standard_NN,25,875,2,29,0.1073546398963247,0.15598763525485992
standard_NN,25,875,2,30,0.09650449774094991,0.1579570323228836
standard_NN,25,875,2,31,0.09523388743400574,0.1585008203983307
standard_NN,25,875,2,32,0.08842234113918883,0.15835508704185486
standard_NN,25,875,2,33,0.09120539855211973,0.16230398416519165
standard_NN,25,875,2,34,0.08633237558283977,0.15979713201522827
standard_NN,25,875,2,35,0.08813063693898064,0.16337507963180542
standard_NN,25,875,2,36,0.07975960888766817,0.15916037559509277
standard_NN,25,875,2,37,0.07777472651962723,0.1622222363948822
standard_NN,25,875,2,38,0.07786632023219552,0.16233466565608978
standard_NN,25,875,2,39,0.07245970909882869,0.16262345016002655
standard_NN,25,875,2,40,0.07254925636308533,0.1658911406993866
standard_NN,25,875,2,41,0.07514885759779386,0.16872578859329224
standard_NN,25,875,2,42,0.0689981064892241,0.1631845384836197
standard_NN,25,875,2,43,0.06665792655465859,0.17463767528533936
standard_NN,25,875,2,44,0.06805880194795984,0.16698792576789856
standard_NN,25,875,2,45,0.064683359382408,0.17251388728618622
standard_NN,25,875,2,46,0.0617535820763026,0.16428494453430176
standard_NN,25,875,2,47,0.061374094403748004,0.16836032271385193
standard_NN,25,875,2,48,0.06169491647077458,0.1668548285961151
standard_NN,25,875,2,49,0.05949287808367184,0.17049193382263184
standard_NN,25,875,2,50,0.05626826600304672,0.1707584410905838
standard_NN,25,875,2,51,0.06399655754544906,0.16795223951339722
standard_NN,25,875,2,52,0.06321256434811014,0.16573727130889893
standard_NN,25,875,2,53,0.05732335955170648,0.16654255986213684
standard_NN,25,875,2,54,0.051895497898970334,0.16736795008182526
standard_NN,25,875,2,55,0.05151516851037741,0.16845035552978516
standard_NN,25,875,2,56,0.04906700551509857,0.16604536771774292
standard_NN,25,875,2,57,0.047867611316697936,0.16865015029907227
standard_NN,25,875,2,58,0.04590051215408104,0.17000870406627655
standard_NN,25,875,2,59,0.04485312909153955,0.1708272099494934
standard_NN,25,875,2,60,0.04375251715204546,0.16891390085220337
standard_NN,25,875,2,61,0.042816398931401115,0.17056286334991455
standard_NN,25,875,2,62,0.04110411847276347,0.17450228333473206
standard_NN,25,875,2,63,0.040865379319127114,0.17537643015384674
standard_NN,25,875,2,64,0.04118486274299877,0.17057082056999207
standard_NN,25,875,2,65,0.0398501522306885,0.169385626912117
standard_NN,25,875,2,66,0.03915083674447877,0.1748974323272705
standard_NN,25,875,2,67,0.03686986311471888,0.1740778088569641
standard_NN,25,875,2,68,0.04003452097198793,0.18562833964824677
standard_NN,25,875,2,69,0.04001562363867249,0.17122648656368256
standard_NN,25,875,2,70,0.03701126881475959,0.1747996062040329
standard_NN,25,875,2,71,0.037618073767849376,0.1762607842683792
standard_NN,25,875,2,72,0.032489664653050046,0.16942285001277924
standard_NN,25,875,2,73,0.032754482102713416,0.17543549835681915
standard_NN,25,875,2,74,0.03290312411263585,0.17889553308486938
standard_NN,25,875,2,75,0.029803461095850383,0.17385642230510712
