model,output,rmse,mae,r2,nrmse
standard_NN,f1,0.3138944813395003,0.2188682422318351,0.9982124926826151,0.007989367111866834
standard_NN,f2,1.276724891817682,0.9046551255240382,0.9981517737400479,0.008123927360925492
standard_NN,f3,2.857471727377416,1.9967793259478328,0.9981712289718366,0.008081056249779383
standard_NN,f4,5.008038977132648,3.489864871579802,0.9982226379499647,0.007966662421100328
standard_NN,peak_displacement,0.01213225609844705,0.00382642237962961,0.7076045697832949,0.044551305049245205
standard_NN,rms_displacement,0.006087714296680205,0.0019754129273102006,0.7086807279286933,0.04583403706141958
physics_guided_NN,f1,0.13182481010936514,0.0992542660214685,0.9996847357132548,0.0033552574671637555
physics_guided_NN,f2,0.5213578036972393,0.3876377014568538,0.9996918002785083,0.0033174515147565992
physics_guided_NN,f3,1.1835401656992435,0.8804468847506716,0.9996862660979478,0.0033471038615198686
physics_guided_NN,f4,2.0985205419567197,1.5713610765195154,0.9996879192709045,0.0033382736871360574
physics_guided_NN,peak_displacement,0.0029135553193404386,0.0008181990506934218,0.9831370334226297,0.010698973938276976
physics_guided_NN,rms_displacement,0.0014924673834552065,0.0004607412778655774,0.9824906352846496,0.011236697721433705
