model,number_of_cases,median_total_time_seconds,median_time_per_case_seconds,throughput_cases_per_second,speedup_over_simulator,mean_displacement_rmse,mean_displacement_nrmse,mean_displacement_r2,training_time_seconds
standard_NN,750,0.000945937994401902,1.261250659202536e-06,792863.8076052864,185206.27862192452,0.009109985197563628,0.045192671055332395,0.7081426488559941,34.864740083998186
physics_guided_NN,750,0.0010509379935683683,1.4012506580911577e-06,713648.1929380443,166702.18112051347,0.0022030113513978227,0.01096783582985534,0.9828138343536397,30.7987042080058
