model,number_of_cases,median_total_time_seconds,median_time_per_case_seconds,throughput_cases_per_second,speedup_over_simulator
physics_simulator,100,23.359154100035084,0.23359154100035084,4.2809769382809035,1.0
standard_NN,750,0.000945937994401902,1.261250659202536e-06,792863.8076052864,185206.27862192452
physics_guided_NN,750,0.0010509379935683683,1.4012506580911577e-06,713648.1929380443,166702.18112051347
