epoch,training_loss,validation_loss
1,0.6390164862979543,0.41645872592926025
2,0.17508910623463717,0.2867255210876465
3,0.1077168195085092,0.21900691092014313
4,0.07621753651818092,0.178683802485466
5,0.057803640184416014,0.15005642175674438
6,0.05006130744957111,0.13389421999454498
7,0.04233995655720884,0.12062165141105652
8,0.036149417456578126,0.11402499675750732
9,0.03586586889895526,0.10354195535182953
10,0.03264774524352767,0.09380101412534714
11,0.026744476841254666,0.08774434030056
12,0.023853712795640934,0.07190307974815369
13,0.02025767854753543,0.08537004888057709
14,0.023928125892681153,0.06563922017812729
15,0.018360198991881176,0.08371330797672272
16,0.018624131673608314,0.06185564398765564
17,0.014368595005097714,0.058303967118263245
18,0.014261578933589838,0.06161960959434509
19,0.013947629526426846,0.04955480247735977
20,0.011318582190539349,0.04890250414609909
21,0.011851936595683748,0.05710463970899582
22,0.011050355019555851,0.049433402717113495
23,0.012508176965638995,0.04691764712333679
24,0.00926985712721944,0.05461660027503967
25,0.01009186389432712,0.03738006576895714
26,0.008325013588182629,0.03888142108917236
27,0.007906281960789453,0.044658057391643524
28,0.007940869060852989,0.034347839653491974
29,0.007053561165759509,0.034562427550554276
30,0.00648417663548819,0.03191611170768738
31,0.00728675668889826,0.0354062020778656
32,0.005110269770110872,0.032536812126636505
33,0.005629681414839896,0.042476095259189606
34,0.0063234791858121754,0.03227802738547325
35,0.005670312815345824,0.029627641662955284
36,0.004247439720413902,0.034340858459472656
37,0.004743401149541817,0.030473897233605385
38,0.003745770503089509,0.0318465456366539
39,0.004166794898496432,0.029789285734295845
40,0.004667862894182855,0.031893059611320496
41,0.0031814114783297884,0.029186580330133438
42,0.002929835581347685,0.030127549543976784
43,0.002642643788236786,0.02951650321483612
44,0.002991125271232291,0.026067400351166725
45,0.003065265262160789,0.032014474272727966
46,0.002640157859687778,0.02507760003209114
47,0.002912736107298935,0.02579529955983162
48,0.0034713678781620482,0.0265036728233099
49,0.0036632779689336364,0.03087788261473179
50,0.0024406177192841743,0.024186860769987106
51,0.002515126817690378,0.025683797895908356
52,0.0028426755537194286,0.030157405883073807
53,0.0025697260491803968,0.024671901017427444
54,0.0024735171400772577,0.02914210967719555
55,0.0020461920744062148,0.02671045809984207
56,0.001713338609657843,0.02310866117477417
57,0.002121983742637729,0.026088280603289604
58,0.0019023358589038252,0.029303476214408875
59,0.001763735972979868,0.027335064485669136
60,0.0016397171198729086,0.027057195082306862
61,0.0015409763468514112,0.024339936673641205
62,0.001693723842882636,0.02321821078658104
63,0.001464868436398154,0.024899685755372047
64,0.0014944864775646818,0.025290848687291145
65,0.0014097158574837853,0.02439541555941105
66,0.0016044832787222483,0.024330200627446175
67,0.0015171510685997253,0.025145258754491806
68,0.0019221318885684012,0.02474648505449295
69,0.0016163751779293472,0.02507764659821987
70,0.0016459822040897879,0.025093475356698036
71,0.0016625073537315158,0.025009868666529655
72,0.002628254364456304,0.026786044239997864
73,0.002477626526855271,0.02915860339999199
74,0.002048706893004816,0.025637220591306686
75,0.0018263716621070424,0.02536468394100666
76,0.0024665134101682766,0.028067419305443764
77,0.005784935923293233,0.031233377754688263
78,0.004331932805309241,0.025798827409744263
79,0.002378120075445622,0.026984235271811485
80,0.0015338806625963613,0.022651806473731995
81,0.0013870383189483121,0.027100592851638794
82,0.0012444127922539006,0.02490074187517166
83,0.00116334702629088,0.022335926070809364
84,0.0013623337049714543,0.02579350583255291
85,0.0011536109636918726,0.022555598989129066
86,0.001313666129400107,0.024373825639486313
87,0.0011332957666705956,0.024421891197562218
88,0.001211259829473089,0.02326837368309498
89,0.0011473227609795603,0.02237004227936268
90,0.001056454365607351,0.02139301784336567
91,0.0010846519154835154,0.021353641524910927
92,0.0009632995558521626,0.023739702999591827
93,0.0015939651739741252,0.025770045816898346
94,0.0017683342025107281,0.021525226533412933
95,0.0012722976987292482,0.02140144258737564
96,0.0011409816914238035,0.02277398854494095
97,0.0012845355467024176,0.025298915803432465
98,0.001578784013294022,0.02498033083975315
99,0.0015796725161966276,0.020802097395062447
