model,frequency_ratio,distance_from_resonance,test_region,output,rmse,mae,r2,number_of_test_samples,prediction_time_seconds
standard_NN,0.5,0.5,seen_off_resonance,f1,0.3245871262057811,0.23748919476426425,0.9980886375519552,750,0.0010862080016522668
standard_NN,0.5,0.5,seen_off_resonance,f2,1.3164435987791805,0.9613460318992962,0.9980349889397219,750,0.0010862080016522668
standard_NN,0.5,0.5,seen_off_resonance,f3,2.9147481786706066,2.1442030244887538,0.9980971807866086,750,0.0010862080016522668
standard_NN,0.5,0.5,seen_off_resonance,f4,5.221589664523286,3.873231960006273,0.998067827118135,750,0.0010862080016522668
standard_NN,0.5,0.5,seen_off_resonance,peak_displacement,0.0045934912951903556,0.001700451484483503,0.7640358420321978,750,0.0010862080016522668
standard_NN,0.5,0.5,seen_off_resonance,rms_displacement,0.002163242281614189,0.000728366279009576,0.8550772151673937,750,0.0010862080016522668
standard_NN,0.8,0.19999999999999996,seen_off_resonance,f1,0.3260897020941138,0.22753185275428625,0.998070900467897,750,0.0008583329981775023
standard_NN,0.8,0.19999999999999996,seen_off_resonance,f2,1.3262551151406645,0.9144911246148488,0.9980055891468461,750,0.0008583329981775023
standard_NN,0.8,0.19999999999999996,seen_off_resonance,f3,2.9174091763051027,2.023168559737274,0.9980937048714279,750,0.0008583329981775023
standard_NN,0.8,0.19999999999999996,seen_off_resonance,f4,5.226951760652143,3.6442232533094945,0.9980638567500907,750,0.0008583329981775023
standard_NN,0.8,0.19999999999999996,seen_off_resonance,peak_displacement,0.014033000222605447,0.004664596218378016,0.6538024258503132,750,0.0008583329981775023
standard_NN,0.8,0.19999999999999996,seen_off_resonance,rms_displacement,0.008155204667183984,0.002691870611190101,0.6144625250410117,750,0.0008583329981775023
standard_NN,0.9,0.09999999999999998,unseen_near_resonance,f1,0.3363836127910633,0.23174773558679052,0.9979471835041378,750,0.0008055409998632967
standard_NN,0.9,0.09999999999999998,unseen_near_resonance,f2,1.3634517072187509,0.927963139352566,0.9978921485294294,750,0.0008055409998632967
standard_NN,0.9,0.09999999999999998,unseen_near_resonance,f3,2.996271308082176,2.0455420717871045,0.9979892516551001,750,0.0008055409998632967
standard_NN,0.9,0.09999999999999998,unseen_near_resonance,f4,5.342920808875768,3.672460958003388,0.9979769902454313,750,0.0008055409998632967
