L,b,h,E,rho,damping_ratio,force_amplitude,excitation_frequency,observation_point,simulation_time,time_step,number_of_modes,f1,f2,f3,f4,peak_displacement,rms_displacement,sample_id,source_split,original_excitation_frequency,frequency_ratio_target,distance_from_resonance,resonance_test_region,first_natural_frequency,modal_stiffness,modal_mass,frequency_ratio,resonance_proximity
1.0808507664193283,0.0770396156077214,0.0193464441562587,191045594742.2212,7851.318193097253,0.0140861859862943,5.519970766544543,62.3618811644885,0.65,2.0,0.002,4.0,37.042148041544195,148.16859216617678,333.3793323738978,592.6743686647071,1.3873787045101906e-05,4.2023161458646775e-06,0,train,58.80146999636387,1.6835384679783487,0.6835384679783487,seen_off_resonance,37.042148041544195,342567.09268321545,6.3240250128777635,1.6835384679783487,0.6835384679783487
2.9513556837958035,0.0341366140758689,0.0080196977755819,204835011743.2904,7822.474633429914,0.0151633167701555,6.736612158918698,2.594457658225647,0.65,2.0,0.002,4.0,2.136358663782374,8.545434655129496,19.227227974041366,34.18173862051798,0.08227517627324342,0.042979533519329434,1,train,0.8003076860942735,1.2144298156528732,0.21442981565287322,seen_off_resonance,2.136358663782374,569.4062546087515,3.160197055562606,1.2144298156528732,0.21442981565287322
2.782254257289617,0.0749966480738674,0.0161953589858991,188013447631.11435,7815.418908861406,0.0327197285955549,7.756397183725521,8.38510012324738,0.65,2.0,0.002,4.0,4.653122946060401,18.612491784241605,41.87810651454362,74.44996713696642,0.0012018487653199963,0.00046142643258894304,2,train,5.077790273958217,1.8020370878759355,0.8020370878759355,seen_off_resonance,4.653122946060401,11287.566079371374,13.205398564468142,1.8020370878759355,0.8020370878759355
1.1775653768459855,0.0666644288485785,0.0174585215416232,187048252287.56265,7969.056920652817,0.0329413027724974,5.395875720878805,43.59965961800692,0.65,2.0,0.002,4.0,27.65922608165143,110.63690432660572,248.93303473486287,442.54761730642286,3.395488532188798e-05,1.0936639595217893e-05,3,train,38.95919569121337,1.5763152406831096,0.5763152406831096,seen_off_resonance,27.65922608165143,164931.41005508564,5.460891990848522,1.5763152406831098,0.5763152406831098
1.6623564899242649,0.0700966647591768,0.0184385527696382,199333400528.64548,7957.715707792297,0.0174561479325971,6.61849091921443,5.025082152627045,0.65,2.0,0.002,4.0,15.142709330846445,60.57083732338578,136.284383977618,242.28334929354313,0.00011823353114605812,6.43761507480655e-05,4,train,5.426158922170924,0.33184828704270936,0.6681517129572907,seen_off_resonance,15.142709330846445,77388.01035737038,8.54883180089433,0.33184828704270936,0.6681517129572907
2.0254641286002224,0.045978349572066,0.0055376412712724,218390980893.1688,7641.201073652063,0.0068485591987181,2.536059453898891,6.43274856467252,0.65,2.0,0.002,4.0,3.272212473876854,13.088849895507416,29.44991226489169,52.35539958202966,0.0031795041237784615,0.001703614736501205,5,train,1.040415600690709,1.9658712922914583,0.9658712922914583,seen_off_resonance,3.272212473876854,832.8697976219003,1.9703091994769204,1.9658712922914583,0.9658712922914583
2.351379017248405,0.0454208549556976,0.0122283600137173,185612820718.2342,7808.602433079311,0.0444675515976044,4.658453824487921,8.144024721459871,0.65,2.0,0.002,4.0,4.889557108355889,19.558228433423555,44.006013975203004,78.23291373369422,0.0017084003069621826,0.0006300363446558718,6,train,9.233559279043298,1.665595582786494,0.6655955827864941,seen_off_resonance,4.889557108355889,4812.694095686503,5.099052405083768,1.665595582786494,0.6655955827864941
1.7863471310829542,0.0235769497264156,0.0198194955015149,206150135211.8529,7877.20072417295,0.0173567957486742,8.205174250463664,24.500225468562405,0.65,2.0,0.002,4.0,14.40774428192281,57.63097712769124,129.6696985373053,230.52390851076495,0.00041613294378733815,0.00013925971620037082,7,train,17.33925022585063,1.7004900273877352,0.7004900273877352,seen_off_resonance,14.40774428192281,26942.612591513283,3.287668239955014,1.7004900273877352,0.7004900273877352
2.257502224503737,0.0504952074641078,0.0189958711983623,196925293035.83847,7654.236103183278,0.0198385491760857,3.992796918608189,3.2522386695011614,0.65,2.0,0.002,4.0,8.572982147264874,34.291928589059495,77.15683932538386,137.16771435623798,0.0003299271946691588,0.00017825290650475895,8,train,10.713117962428448,0.37935908574576427,0.6206409142542357,seen_off_resonance,8.572982147264874,24045.454926350645,8.287230581714558,0.37935908574576427,0.6206409142542357
1.2256098962647417,0.0668740211642996,0.0057060880111989,201754044487.57956,7824.985732617007,0.0336182593824794,3.2247003969459493,10.762877455062462,0.65,2.0,0.002,4.0,8.746464736577838,34.98585894631135,78.71818262920056,139.9434357852454,0.0013868166187512854,0.0006011028005026279,9,train,2.120857587736934,1.230540313053794,0.23054031305379397,seen_off_resonance,8.746464736577838,5526.1994815083135,1.8297919895603405,1.230540313053794,0.23054031305379397
1.22737699056915,0.0799645151612787,0.0157996516122863,205172889532.41052,7735.9133981943905,0.0440511396298334,9.109609961673067,17.612649587080497,0.65,2.0,0.002,4.0,24.4920421263362,97.9681685053448,220.42837913702581,391.8726740213792,0.00013190875496705873,6.527205314015454e-05,10,train,36.72315243398459,0.7191172339256138,0.2808827660743862,seen_off_resonance,24.4920421263362,142041.13446856898,5.997971531212736,0.7191172339256138,0.2808827660743862
2.381252438731713,0.0289365462857769,0.013949178839792,198905329257.7406,7950.021704927948,0.0154509998213416,1.7949495886527804,10.587202423327769,0.65,2.0,0.002,4.0,5.579638640293765,22.31855456117506,50.216747762643884,89.27421824470024,0.0005122700723029768,0.00022061532924778544,11,train,6.651531887231568,1.8974709843880426,0.8974709843880426,seen_off_resonance,5.579638640293765,4695.814977521429,3.82066617552159,1.8974709843880424,0.8974709843880424
2.0057882729584904,0.0749831846253425,0.0132519057172694,210752691730.56635,7717.436523863885,0.0405686070519983,2.7167839685513573,11.7189065134527,0.65,2.0,0.002,4.0,7.8052613183780775,31.22104527351231,70.24735186540269,124.88418109404924,0.00028150728877064413,0.00010626234504767242,12,train,1.8357190110681392,1.5014111681129303,0.5014111681129303,seen_off_resonance,7.8052613183780775,18497.15812827751,7.690779802771222,1.5014111681129303,0.5014111681129303
2.306942578386292,0.0212259682951142,0.0053142617739744,192742887390.751,7901.906800925653,0.046645635585445,6.8614610944947545,3.917624480389652,0.65,2.0,0.002,4.0,2.2362577401125425,8.94503096045017,20.126319661012882,35.78012384180068,0.051073059325547475,0.02169557892537424,13,train,3.290655566896355,1.751866258579162,0.751866258579162,seen_off_resonance,2.2362577401125425,202.9796956463974,1.028132639747132,1.751866258579162,0.751866258579162
2.519345407975992,0.0651731482194698,0.0062886335742493,204379555483.58075,7657.147847416343,0.0271944199790507,2.4728884383271037,2.8335617832152677,0.65,2.0,0.002,4.0,2.3211078700165957,9.284431480066383,20.889970830149363,37.13772592026553,0.015579827955119575,0.007826662357140737,14,train,0.686328639370332,1.2207798783582635,0.22077987835826351,seen_off_resonance,2.3211078700165957,840.8143723694171,3.9532086931314923,1.2207798783582635,0.22077987835826351
2.461916749468922,0.0656189471729016,0.0181173995602766,211662903552.60333,7772.741036101376,0.0103386380686452,3.796311321811432,3.6648477203609295,0.65,2.0,0.002,4.0,7.07316298770087,28.29265195080348,63.658466889307824,113.17060780321393,0.0004402717547428122,0.00024336040633675306,15,train,13.30711276997022,0.5181342104986877,0.4818657895013123,seen_off_resonance,7.07316298770087,22466.206915186605,11.374771635344748,0.5181342104986877,0.4818657895013123
