model,training_percentage,training_samples,repeat,epoch,training_loss,validation_loss
standard_NN,75,2625,1,1,0.7569830971104758,0.41245681047439575
standard_NN,75,2625,1,2,0.32605082843275296,0.28910988569259644
standard_NN,75,2625,1,3,0.2637395440112977,0.24843457341194153
standard_NN,75,2625,1,4,0.23294499352396952,0.22609297931194305
standard_NN,75,2625,1,5,0.21078678185031527,0.2070179283618927
standard_NN,75,2625,1,6,0.1964044500796479,0.19489268958568573
standard_NN,75,2625,1,7,0.18634775408454948,0.18501240015029907
standard_NN,75,2625,1,8,0.17860307859345562,0.1887437254190445
standard_NN,75,2625,1,9,0.184239209244316,0.1725783348083496
standard_NN,75,2625,1,10,0.17260742892644235,0.1671992689371109
standard_NN,75,2625,1,11,0.1686632139608264,0.16352316737174988
standard_NN,75,2625,1,12,0.16243055791571914,0.16452524065971375
standard_NN,75,2625,1,13,0.15659980153820166,0.17615072429180145
standard_NN,75,2625,1,14,0.1669122591348631,0.16115409135818481
standard_NN,75,2625,1,15,0.15948926582877038,0.1576411873102188
standard_NN,75,2625,1,16,0.1598109580532071,0.15937767922878265
standard_NN,75,2625,1,17,0.15426207556655364,0.16164077818393707
standard_NN,75,2625,1,18,0.15248862064964624,0.15514039993286133
standard_NN,75,2625,1,19,0.14956829046353787,0.15353824198246002
standard_NN,75,2625,1,20,0.14802436754550963,0.1525750756263733
standard_NN,75,2625,1,21,0.15019756282812782,0.1540878713130951
standard_NN,75,2625,1,22,0.14869831356086902,0.15502828359603882
standard_NN,75,2625,1,23,0.1485461101068982,0.15406259894371033
standard_NN,75,2625,1,24,0.14017967691844596,0.1517714262008667
standard_NN,75,2625,1,25,0.25406955200291814,0.1621033102273941
standard_NN,75,2625,1,26,0.21002039628192073,0.16868960857391357
standard_NN,75,2625,1,27,0.1479164499878174,0.16222362220287323
standard_NN,75,2625,1,28,0.13908312487460317,0.15408918261528015
standard_NN,75,2625,1,29,0.13447590891294003,0.15317457914352417
standard_NN,75,2625,1,30,0.13458588180392758,0.15184146165847778
standard_NN,75,2625,1,31,0.13054715578965398,0.15205077826976776
standard_NN,75,2625,1,32,0.1347526423439073,0.1523263305425644
standard_NN,75,2625,1,33,0.13233676171373754,0.15683086216449738
standard_NN,75,2625,1,34,0.12940983327903918,0.1576353907585144
standard_NN,75,2625,1,35,0.13067190812545873,0.16337500512599945
standard_NN,75,2625,1,36,0.12914307415485382,0.15236546099185944
standard_NN,75,2625,1,37,0.12227185238623947,0.15195395052433014
standard_NN,75,2625,1,38,0.12229740593050208,0.15059080719947815
standard_NN,75,2625,1,39,0.12083733418867701,0.16307710111141205
standard_NN,75,2625,1,40,0.1374378536323396,0.15470507740974426
standard_NN,75,2625,1,41,0.1190348508590389,0.15142159163951874
standard_NN,75,2625,1,42,0.11340177035128277,0.15715885162353516
standard_NN,75,2625,1,43,0.11840207571540737,0.15246915817260742
standard_NN,75,2625,1,44,0.1141558578442311,0.15434624254703522
standard_NN,75,2625,1,45,0.11165726256080061,0.1501157432794571
standard_NN,75,2625,1,46,0.10813697179158528,0.15378570556640625
standard_NN,75,2625,1,47,0.10682090210251599,0.1575499325990677
standard_NN,75,2625,1,48,0.1111731640052139,0.15281008183956146
standard_NN,75,2625,1,49,0.10538082273255679,0.1508188247680664
standard_NN,75,2625,1,50,0.10172573080524758,0.14799366891384125
standard_NN,75,2625,1,51,0.10093096284461874,0.1514035016298294
standard_NN,75,2625,1,52,0.10971142888246548,0.15856893360614777
standard_NN,75,2625,1,53,0.13037072135401623,0.1614837497472763
standard_NN,75,2625,1,54,0.11148300631681368,0.1520552635192871
standard_NN,75,2625,1,55,0.09843589838904639,0.14954592287540436
standard_NN,75,2625,1,56,0.09967640512401149,0.16304819285869598
standard_NN,75,2625,1,57,0.12033142776982415,0.16226747632026672
standard_NN,75,2625,1,58,0.14174900884141348,0.1591828614473343
standard_NN,75,2625,1,59,0.10054038517964295,0.14966049790382385
standard_NN,75,2625,1,60,0.09045870852978191,0.16022159159183502
standard_NN,75,2625,1,61,0.09024521919976299,0.15237268805503845
standard_NN,75,2625,1,62,0.08752668866266806,0.14938171207904816
standard_NN,75,2625,1,63,0.08303838493191593,0.1506371647119522
standard_NN,75,2625,1,64,0.08150671630920399,0.14579132199287415
standard_NN,75,2625,1,65,0.08227266099614401,0.15162420272827148
standard_NN,75,2625,1,66,0.08193384736244168,0.14758704602718353
standard_NN,75,2625,1,67,0.07964050043180275,0.14316794276237488
standard_NN,75,2625,1,68,0.07718303001352719,0.15027658641338348
standard_NN,75,2625,1,69,0.08164803710366998,0.14463810622692108
standard_NN,75,2625,1,70,0.07329076152520775,0.1454973816871643
standard_NN,75,2625,1,71,0.07160917144557018,0.14677287638187408
standard_NN,75,2625,1,72,0.07191584210488058,0.14453205466270447
standard_NN,75,2625,1,73,0.07413490965873712,0.14603981375694275
standard_NN,75,2625,1,74,0.07592629384903592,0.15126748383045197
standard_NN,75,2625,1,75,0.06641994882929361,0.14767339825630188
standard_NN,75,2625,1,76,0.06568390738573812,0.14309263229370117
standard_NN,75,2625,1,77,0.06439951721334919,0.14429865777492523
standard_NN,75,2625,1,78,0.0680422098763908,0.15461838245391846
standard_NN,75,2625,1,79,0.06594405835494399,0.1456693410873413
standard_NN,75,2625,1,80,0.058937273264053236,0.15471898019313812
standard_NN,75,2625,1,81,0.06286196918171343,0.14531344175338745
standard_NN,75,2625,1,82,0.0561458821147902,0.14987315237522125
standard_NN,75,2625,1,83,0.060623684033219306,0.15398499369621277
standard_NN,75,2625,1,84,0.06129146677752336,0.1611255705356598
standard_NN,75,2625,1,85,0.06114329622747997,0.15074120461940765
standard_NN,75,2625,1,86,0.05265982608710017,0.14841106534004211
standard_NN,75,2625,1,87,0.05070465124611344,0.15192152559757233
standard_NN,75,2625,1,88,0.05599646439908871,0.15531937777996063
standard_NN,75,2625,1,89,0.05100608570778388,0.14265909790992737
standard_NN,75,2625,1,90,0.053561422474948425,0.15138231217861176
standard_NN,75,2625,1,91,0.047504106675097274,0.15384221076965332
standard_NN,75,2625,1,92,0.04947824788368529,0.15157847106456757
standard_NN,75,2625,1,93,0.050676823261060884,0.16192637383937836
standard_NN,75,2625,1,94,0.04980514624982052,0.15037359297275543
standard_NN,75,2625,1,95,0.04414954153721088,0.1572992354631424
standard_NN,75,2625,1,96,0.0468492695973033,0.15633805096149445
standard_NN,75,2625,1,97,0.04204685423922326,0.1519673466682434
standard_NN,75,2625,1,98,0.041594911516377966,0.15721376240253448
standard_NN,75,2625,1,99,0.03907080522427956,0.16052304208278656
standard_NN,75,2625,1,100,0.04248222870574821,0.15508949756622314
standard_NN,75,2625,1,101,0.043752076991257216,0.16111737489700317
standard_NN,75,2625,1,102,0.04133938323883783,0.15409471094608307
standard_NN,75,2625,1,103,0.048130545895435806,0.15416672825813293
standard_NN,75,2625,1,104,0.03943795350746119,0.1548246145248413
standard_NN,75,2625,1,105,0.037598844595430864,0.15938568115234375
standard_NN,75,2625,1,106,0.04215384344570339,0.16502858698368073
standard_NN,75,2625,1,107,0.039939009806229955,0.15821944177150726
standard_NN,75,2625,1,108,0.03544664794545887,0.16480761766433716
standard_NN,75,2625,1,109,0.03554743270034946,0.16524158418178558
standard_NN,75,2625,1,110,0.034789082497203104,0.17248505353927612
standard_NN,75,2625,1,111,0.03491050909672465,0.15879249572753906
standard_NN,75,2625,1,112,0.03497315702649454,0.16836881637573242
standard_NN,75,2625,1,113,0.0335534279279056,0.1713317185640335
standard_NN,75,2625,1,114,0.03350891639101541,0.16599267721176147
standard_NN,75,2625,1,115,0.03321542839763597,0.17364872992038727
standard_NN,75,2625,1,116,0.033821953968505285,0.1749349981546402
standard_NN,75,2625,1,117,0.03408602984356029,0.15563200414180756
