epoch,training_loss,validation_loss
1,0.6697863665494052,0.3339674770832062
2,0.2777994111180305,0.2351166158914566
3,0.2253945484080098,0.19763274490833282
4,0.19846858795393596,0.1808042824268341
5,0.18200358220122076,0.16979634761810303
6,0.17100426381961867,0.1610376089811325
7,0.16730388084595854,0.16129258275032043
8,0.16383315849710595,0.16187185049057007
9,0.16342275613410906,0.1513720154762268
10,0.15695954557846892,0.1488165408372879
11,0.15238694099878722,0.1495608240365982
12,0.15189092833210122,0.15112189948558807
13,0.1495441426946358,0.14698131382465363
14,0.1520930523560806,0.1525156944990158
15,0.14931972145356914,0.15008379518985748
16,0.1423836629414423,0.14546136558055878
17,0.14727282232858918,0.1458062380552292
18,0.14026995677162302,0.14777864515781403
19,0.13791416304355317,0.14512938261032104
20,0.13773290917954661,0.14581865072250366
21,0.13837225945158438,0.14316415786743164
22,0.1410482666031881,0.1437971591949463
23,0.13481734190136194,0.143293559551239
24,0.13391752436079762,0.14541836082935333
25,0.13065582708540288,0.14944979548454285
26,0.13676277519288388,0.14414732158184052
27,0.1322669500654394,0.15465515851974487
28,0.13435034121979367,0.14007748663425446
29,0.129073658416217,0.14204765856266022
30,0.1285966715860096,0.14567165076732635
31,0.12742194584147495,0.14339295029640198
32,0.1269489110532132,0.14067919552326202
33,0.1305708102712577,0.14029334485530853
34,0.12711576485837048,0.14945070445537567
35,0.1207294216464189,0.14068631827831268
36,0.1211850309575146,0.14829377830028534
37,0.12555582994087175,0.14668256044387817
38,0.12368046991865743,0.14038555324077606
39,0.11608096923340451,0.1417793482542038
40,0.11626149505715479,0.1381700485944748
41,0.1130317908288403,0.14211082458496094
42,0.11591740071096203,0.1505631059408188
43,0.11684398244727742,0.15224409103393555
44,0.11830525770783425,0.14346230030059814
45,0.10872117052362724,0.13892999291419983
46,0.10631650952114301,0.13974425196647644
47,0.10453020494261926,0.13922186195850372
48,0.1052479402077469,0.14063715934753418
49,0.10422532514415005,0.14338339865207672
50,0.10960276221687143,0.14183810353279114
51,0.10401650023731318,0.14436253905296326
52,0.10062462223524397,0.13529524207115173
53,0.1003628597510132,0.14174576103687286
54,0.09402044913308187,0.14286793768405914
55,0.09433074683289636,0.13481706380844116
56,0.09679141134362329,0.1439206451177597
57,0.09600271289660171,0.14115026593208313
58,0.09204073941165751,0.1495952159166336
59,0.09114950412715023,0.1372610628604889
60,0.09727287019856952,0.14140881597995758
61,0.08475209252739495,0.1452847421169281
62,0.08696826388212768,0.15096917748451233
63,0.08260497928343036,0.1410258710384369
64,0.08008434294976971,0.14371009171009064
65,0.0916515053673224,0.137734517455101
66,0.08165637810121883,0.13909736275672913
67,0.08353702146559953,0.14535294473171234
68,0.07756478317420591,0.15286092460155487
69,0.07706655539910902,0.14102542400360107
70,0.07372428197413683,0.1399601846933365
71,0.07201466419818726,0.15344631671905518
72,0.07720295517620715,0.1527756303548813
73,0.07664920657195828,0.14377354085445404
74,0.06900363019244238,0.1502651572227478
75,0.06718249629166993,0.13860774040222168
76,0.06574713934890249,0.14129486680030823
77,0.07010376690463586,0.13949212431907654
78,0.06659633083776995,0.1316114068031311
79,0.06384985961697319,0.1368776261806488
80,0.06508948755535213,0.13878121972084045
81,0.06259264769879254,0.14532364904880524
82,0.06338967879048803,0.13779376447200775
83,0.06270249677313999,0.14101547002792358
84,0.05802748577499932,0.13574853539466858
85,0.05734727836468003,0.1545356959104538
86,0.06035891474986618,0.14263302087783813
87,0.06241084928201004,0.16245733201503754
88,0.05896310442211953,0.1397695392370224
89,0.0557487277822061,0.13108082115650177
90,0.06193606470796195,0.14532174170017242
91,0.05505571803924712,0.15496128797531128
92,0.05228668637573719,0.1419239342212677
93,0.04590580956163731,0.14318819344043732
94,0.051394514350051226,0.15390653908252716
95,0.04883183764124459,0.14062535762786865
96,0.04658342074941505,0.15302243828773499
97,0.04572123806415634,0.14017754793167114
98,0.04675014281476086,0.15102310478687286
99,0.04706615514375947,0.12860484421253204
100,0.042336975359781225,0.14078062772750854
101,0.04120623733509671,0.1387290507555008
102,0.042039913540198044,0.14514563977718353
103,0.04184498442336917,0.14126195013523102
104,0.03609530935063958,0.13167579472064972
105,0.038548989653248676,0.1301780641078949
106,0.03631107084114443,0.14365431666374207
107,0.04301931719211015,0.13641957938671112
108,0.03648147588087754,0.13396528363227844
109,0.0364667654460804,0.12876784801483154
110,0.03453758720477874,0.13039852678775787
111,0.03763341907073151,0.13896667957305908
112,0.03297902246598493,0.13409008085727692
113,0.03570700252259319,0.13268378376960754
114,0.030700602441687475,0.13594552874565125
115,0.03165259308774363,0.128363236784935
116,0.029702887387776915,0.1388235241174698
117,0.030798171723092144,0.12636716663837433
118,0.028698790979317643,0.13756969571113586
119,0.02852983246134086,0.1337234377861023
120,0.02896881376139142,0.12718099355697632
121,0.02859772786667401,0.1358899176120758
122,0.0283862726170231,0.12611959874629974
123,0.027575419580733233,0.11541067063808441
124,0.027059627332809297,0.11557735502719879
125,0.025613274535333568,0.13254506886005402
126,0.024926184278658847,0.1233411356806755
127,0.0232212232679806,0.12124942988157272
128,0.02477880231189457,0.12449107319116592
129,0.02535240841521458,0.12235769629478455
130,0.02515444087541916,0.15262183547019958
131,0.024987583827566016,0.11873334646224976
132,0.024868510134348817,0.13599920272827148
133,0.02127472422170368,0.13142071664333344
134,0.02520125526088205,0.12656249105930328
135,0.023467755199156025,0.14344705641269684
136,0.027873989575627176,0.12495822459459305
137,0.022115452934733847,0.12313755601644516
138,0.020719015488231723,0.12420659512281418
139,0.024000591276721522,0.11790839582681656
140,0.02060809807682579,0.13067524135112762
141,0.01892989739690992,0.12205156683921814
142,0.018742971350862222,0.12209891527891159
143,0.018355186808515677,0.12825345993041992
144,0.017712687751786277,0.12440943717956543
145,0.01808347895064137,0.12120775133371353
146,0.01830886374651031,0.12201554328203201
147,0.0184652709656141,0.12937042117118835
148,0.01719430312514305,0.12278560549020767
149,0.016726564268835568,0.1235058605670929
150,0.0159667805345221,0.11357760429382324
151,0.017696922924369574,0.1233760192990303
152,0.0167026406831362,0.11865245550870895
153,0.01577021320435134,0.1177968755364418
154,0.016619791674681684,0.11570033431053162
155,0.026468659124591135,0.1541578620672226
156,0.024047108502550558,0.11646705120801926
157,0.02010087867013433,0.11815731972455978
158,0.01564591916447336,0.11487416177988052
159,0.014480575868351893,0.11733942478895187
160,0.014429044113917783,0.12457693368196487
161,0.013932729089124636,0.11717807501554489
162,0.013653955168344757,0.11532942950725555
163,0.0146797447507693,0.10681591182947159
164,0.013833016470413316,0.11845452338457108
165,0.012882537945089015,0.14101125299930573
166,0.013763079360466111,0.11817540228366852
167,0.014869728819890456,0.11216191202402115
168,0.012238561980087648,0.10785985738039017
169,0.012093041032891381,0.11648321151733398
170,0.014472428294406696,0.11596977710723877
171,0.015876794056120243,0.13900862634181976
172,0.023219135323200715,0.1147158071398735
173,0.01425352706997232,0.1037084087729454
174,0.016683052150024608,0.1132073700428009
175,0.013642102331769738,0.11191199719905853
176,0.012693073092536493,0.11992702633142471
177,0.010986642268570986,0.11225470900535583
178,0.010615200413898988,0.10988163948059082
179,0.012140991585329174,0.12504249811172485
180,0.021369891317391938,0.12169330567121506
181,0.013377177342772485,0.11862653493881226
182,0.013246322236955165,0.10753288120031357
183,0.016830080400475046,0.10786524415016174
184,0.010655210535465316,0.10590744018554688
185,0.010946524354883216,0.10151117295026779
186,0.01044732832603834,0.10972302407026291
187,0.009466126120903275,0.10833798348903656
188,0.00914269249716943,0.12195171415805817
189,0.00939021158370782,0.1023213341832161
190,0.009407655306329782,0.11635860055685043
191,0.010321078809316863,0.1052110493183136
192,0.009344291771677407,0.10562773048877716
193,0.009369368478655816,0.11052114516496658
194,0.009132030462338165,0.11110322922468185
195,0.009377578836442396,0.12256507575511932
196,0.010666548490354961,0.1054854467511177
197,0.01114644085014747,0.10579496622085571
198,0.009678074205294252,0.10573936253786087
199,0.010958829115737569,0.11185277253389359
200,0.010921109933406115,0.10934203863143921
201,0.008846654480492527,0.10292723774909973
202,0.008865752740001136,0.11803410202264786
203,0.011323073900050738,0.11310376226902008
204,0.015417701602828774,0.10665973275899887
205,0.013462224941362034,0.10566652566194534
206,0.010660076598552141,0.12094779312610626
207,0.011396137836643241,0.10541460663080215
208,0.010044172643260522,0.10505180060863495
209,0.010730747971683741,0.11042346060276031
210,0.008951250721954487,0.10748181492090225
211,0.008481431890025058,0.10005415976047516
212,0.008720651937817986,0.11689954996109009
213,0.007953610279682008,0.10375453531742096
214,0.0074247355869209225,0.09822452068328857
215,0.006858030759560114,0.10389449447393417
216,0.008065651173026047,0.10163041204214096
217,0.010279062580825253,0.10166994482278824
218,0.008181345824744892,0.11011908948421478
219,0.01004200249233029,0.10288354754447937
220,0.0076320701405744665,0.0997159481048584
221,0.007651386481963776,0.10677037388086319
222,0.00743774219670079,0.10183387249708176
223,0.006348854413425381,0.1021541953086853
224,0.006503791821358556,0.1062556579709053
225,0.0072837413373318585,0.09597685933113098
226,0.008392178381539203,0.11543067544698715
227,0.010815236260267822,0.12020900845527649
228,0.009351118577813561,0.10087336599826813
229,0.006858456016264178,0.10150689631700516
230,0.006386184654283253,0.10198550671339035
231,0.006029479078609835,0.09231773763895035
232,0.010518614397468892,0.09710100293159485
233,0.009065627480264415,0.10044638067483902
234,0.007881889433007348,0.10068105906248093
235,0.006813943750140342,0.09453515708446503
236,0.00582511443644762,0.10292219370603561
237,0.006880727361633697,0.10209254175424576
238,0.008334661410613493,0.10276079922914505
239,0.007051111829721115,0.09784697741270065
240,0.0070037849628451195,0.09749109297990799
241,0.01019958572208204,0.10276863723993301
242,0.006779246819628911,0.09774793684482574
243,0.007649433422325687,0.10118334740400314
244,0.006742705332792618,0.0977560505270958
245,0.00569722065067088,0.09895814210176468
246,0.007108702402646569,0.10153969377279282
247,0.01124449056065218,0.09900636970996857
248,0.011603116802871228,0.10939700156450272
249,0.01487869045866484,0.08932830393314362
250,0.007002046795307913,0.09620706737041473
251,0.006473800260573625,0.09978879243135452
252,0.006189526761458679,0.09167452156543732
253,0.006216217116029425,0.10629880428314209
254,0.005642088075083765,0.09436061233282089
255,0.006158835760487074,0.10544950515031815
256,0.005427752242592925,0.09870148450136185
257,0.0044716715050691904,0.09622325748205185
258,0.00500583417755975,0.10446614772081375
259,0.007171868951991201,0.09837116301059723
260,0.005316601621664383,0.09882774204015732
261,0.005890641268342734,0.08968774974346161
262,0.008194545360112732,0.09418398141860962
263,0.007780515838583762,0.08938796073198318
264,0.006657145024192604,0.09806795418262482
265,0.00639237405478277,0.10150931030511856
266,0.005476261125030843,0.0995836928486824
267,0.004749203337864443,0.09307826310396194
268,0.008453448978252709,0.09953103959560394
269,0.008837511191483249,0.10157615691423416
270,0.00630716525060548,0.10481952875852585
271,0.007406541425734758,0.09927539527416229
272,0.005802589593539861,0.0954272449016571
273,0.01711628981442614,0.08390812575817108
274,0.010200579038990493,0.10512946546077728
275,0.007179793355647814,0.08902435749769211
276,0.006014232026328417,0.09130650013685226
277,0.00416107439563017,0.09332644194364548
278,0.003359408422627232,0.08640994131565094
279,0.0034184768520803613,0.09063936024904251
280,0.0031315547541122543,0.0893067866563797
281,0.003252077142877335,0.09036190807819366
282,0.003300427001985637,0.08692582696676254
283,0.0035806161288002673,0.09043392539024353
284,0.0034469061001965945,0.08661389350891113
285,0.0040460510581562465,0.09192784875631332
286,0.00463287081908096,0.10169073939323425
287,0.0067859494719992985,0.09509152919054031
288,0.006643710937350988,0.09806185215711594
289,0.005885075900534337,0.09275452047586441
290,0.0048654510449110105,0.099437415599823
291,0.01212705302009867,0.09811477363109589
292,0.01149129781618037,0.1057736873626709
293,0.045322535110806875,0.11420300602912903
294,0.020948532642796634,0.09521593898534775
295,0.007327027400870892,0.09153147041797638
296,0.004790592244402929,0.0939943864941597
297,0.004220317962410098,0.09019321948289871
298,0.0032471123701808126,0.09253282099962234
299,0.00335267897144976,0.09030728787183762
300,0.0036438449285924436,0.09404735267162323
301,0.00400545771911063,0.09104537963867188
302,0.002807863213291222,0.0899154394865036
303,0.002674157591536641,0.0877758264541626
304,0.00302469156767157,0.09046413004398346
305,0.0037708185316825456,0.08849829435348511
306,0.003956319419243797,0.09533441811800003
307,0.00315246119544926,0.08974846452474594
308,0.003272643797522919,0.09047114104032516
309,0.003587576837956228,0.09239545464515686
310,0.005412585554983128,0.08863157778978348
311,0.004776799052276395,0.09706571698188782
312,0.0036846752786500888,0.08902167528867722
313,0.0048715221716768365,0.08556246757507324
314,0.005679570631632073,0.09443294256925583
315,0.006894184873354706,0.08780296891927719
316,0.0073018020399930805,0.09187296777963638
317,0.004282535017806698,0.0923142358660698
318,0.0034679725110022858,0.09454309195280075
319,0.004971068805422295,0.09357735514640808
320,0.0032700624443929302,0.08677181601524353
321,0.005128417282619259,0.0935487300157547
322,0.0069356958254833114,0.09342911839485168
323,0.0045315770855681465,0.08632704615592957
