L,b,h,E,rho,damping_ratio,force_amplitude,excitation_frequency,observation_point,simulation_time,time_step,number_of_modes,f1,f2,f3,f4,peak_displacement,rms_displacement
2.5479120971119267,0.04633270638512314,0.017878968798670736,207894721162.37457,7637.670939155059,0.04890300582365402,7.635283049704494,10.521895113182199,0.65,2.0,0.002,4,6.5154452276842205,26.061780910736882,58.63900704915798,104.24712364294753,0.00114969512067408,0.0004110834447761965
1.2562272653510917,0.04702315627373403,0.010561970363488719,217070599553.94406,7857.546048032265,0.04202427259718735,4.489800568390578,9.714786824314665,0.65,2.0,0.002,4,15.95125301257838,63.80501205031352,143.56127711320542,255.2200482012541,0.00029460446252839277,0.00014711789168817105
2.10916957403167,0.02382903536625052,0.01741446757988873,205266575964.8826,7903.235096034149,0.020953668565844078,9.709910441509543,16.3523355328756,0.65,2.0,0.002,4,9.046344618500251,36.185378474001006,81.41710156650227,144.74151389600402,0.0011797623903540481,0.0004203282155429469
2.556766994147524,0.031678322471118056,0.012000815055905513,181752150631.48914,7661.715796827019,0.03573720289591046,7.473145343487389,7.8718311152192975,0.65,2.0,0.002,4,4.054473390372056,16.217893561488225,36.49026051334851,64.8715742459529,0.003908916398082079,0.0016243144475306796
1.6516507162763039,0.042227582362092134,0.012043337169137119,187578854363.37143,7651.968602134189,0.02640672168016702,2.346402555603753,13.9324315861431,0.65,2.0,0.002,4,9.911628801091519,39.646515204366075,89.20465920982367,158.5860608174643,0.0003859463194342619,0.00014530334013303925
1.8743038377446615,0.06996069176347025,0.015503976530033735,192494665655.28165,7932.90392055808,0.04121439608735609,3.9360359523987274,7.087757079311658,0.65,2.0,0.002,4,9.857927498260612,39.431709993042446,88.7213474843455,157.72683997216978,0.00040390100336205073,0.0002000883671649643
2.3649910079499508,0.028385149016558586,0.007998623037126625,180294490790.04022,7914.769751000856,0.034918288546641446,7.081137248400718,4.968406289093725,0.65,2.0,0.002,4,3.0949781084773194,12.379912433909277,27.854802976295876,49.51964973563711,0.01754468999097711,0.007341759849463229
1.91783155107668,0.05412447175717362,0.007096954971914862,184581202941.43893,7867.361184716188,0.026199329276440968,5.695837454163769,6.6832961209940525,0.65,2.0,0.002,4,4.237986580249869,16.951946320999475,38.141879222248825,67.8077852839979,0.004776870712005644,0.0019492283195955314
2.2694366400011816,0.05321476403947975,0.013388107411181203,192158003922.5045,7612.327133827176,0.02465228251545631,2.224388260913339,5.539336005672272,0.65,2.0,0.002,4,5.922196797688984,23.688787190755935,53.29977117920086,94.75514876302374,0.003288601013589301,0.0019056449015394448
2.7068061465363322,0.034036369151920445,0.00587454112533599,191255355680.87985,7717.437503106674,0.03478624316271028,5.614618308178655,2.9158098558517667,0.65,2.0,0.002,4,1.8099189894116305,7.239675957646522,16.289270904704672,28.95870383058609,0.04700152561875417,0.020941616679136334
2.3286270806547753,0.04438321168640423,0.017210305769990518,186678916796.30817,7609.084829253544,0.00905215373490388,7.251357570904858,7.352205993822058,0.65,2.0,0.002,4,7.12852005983944,28.51408023935776,64.15668053855497,114.05632095743104,0.015326442225904211,0.008104189744549585
1.3225435580672036,0.05006268650620181,0.007284681540697526,207852815003.10944,7778.462510229612,0.022145955174341713,3.084969682563978,13.027837372674103,0.65,2.0,0.002,4,9.762272579290844,39.049090317163376,87.86045321361759,156.1963612686535,0.0008641059982816999,0.0003403660279710592
1.7236252211067808,0.025258995158966062,0.00677008853180773,218475906581.9806,7963.4322762830425,0.036486821021483734,2.732112618449244,10.524498298881447,0.65,2.0,0.002,4,5.4123958315207155,21.649583326082862,48.711562483686436,86.59833330433145,0.0017032810448542567,0.000661168997167412
2.5575018079315894,0.06301341134953974,0.01174042253215683,190889662473.80637,7638.5563848614,0.04561710784447288,4.612185269352749,2.2958384929652604,0.65,2.0,0.002,4,4.068802813171375,16.2752112526855,36.619225318542384,65.100845010742,0.00283337576155065,0.0014960042597777768
1.611913248301305,0.05475317413651376,0.007651591744088476,214264571363.695,7903.407811934084,0.037375833017792154,4.377721093773527,9.241482157687006,0.65,2.0,0.002,4,6.952895492139811,27.811581968559246,62.5760594292583,111.24632787423698,0.0019638014857237436,0.0008083652427871952
