model,training_percentage,training_samples,repeat,epoch,training_loss,validation_loss
standard_NN,10,350,1,1,1.0985022187232971,1.0103248357772827
standard_NN,10,350,1,2,0.9349322815736135,0.9664170145988464
standard_NN,10,350,1,3,0.8755549589792887,0.9064313769340515
standard_NN,10,350,1,4,0.7765645931164423,0.8199640512466431
standard_NN,10,350,1,5,0.6951480855544409,0.7100802659988403
standard_NN,10,350,1,6,0.5484329139192899,0.5959692001342773
standard_NN,10,350,1,7,0.4668495828906695,0.5189148187637329
standard_NN,10,350,1,8,0.3808477322260539,0.4945393204689026
standard_NN,10,350,1,9,0.34234504277507466,0.47540462017059326
standard_NN,10,350,1,10,0.3191404740015666,0.45214706659317017
standard_NN,10,350,1,11,0.426451509197553,0.43877559900283813
standard_NN,10,350,1,12,0.28993820523222286,0.41729095578193665
standard_NN,10,350,1,13,0.3864553098877271,0.40264666080474854
standard_NN,10,350,1,14,0.27083147938052815,0.3866933584213257
standard_NN,10,350,1,15,0.3106849752366543,0.3842724561691284
standard_NN,10,350,1,16,0.24574205403526625,0.36621037125587463
standard_NN,10,350,1,17,0.33656175310413045,0.3647024631500244
standard_NN,10,350,1,18,0.22720746199289957,0.35127362608909607
standard_NN,10,350,1,19,0.23051418364048004,0.34809446334838867
standard_NN,10,350,1,20,0.26886106841266155,0.34111231565475464
standard_NN,10,350,1,21,0.29524040594697,0.33506661653518677
standard_NN,10,350,1,22,0.2866703364998102,0.3282769024372101
standard_NN,10,350,1,23,0.197128277271986,0.3246946632862091
standard_NN,10,350,1,24,0.1928236254801353,0.32348987460136414
standard_NN,10,350,1,25,0.23896329229076704,0.3214298486709595
standard_NN,10,350,1,26,0.1821518149226904,0.31296926736831665
standard_NN,10,350,1,27,0.17884279290835062,0.3072729706764221
standard_NN,10,350,1,28,0.2641815810153882,0.3114309012889862
standard_NN,10,350,1,29,0.17738662535945574,0.30188506841659546
standard_NN,10,350,1,30,0.16641902985672155,0.30592578649520874
standard_NN,10,350,1,31,0.1632749161993464,0.2998557984828949
standard_NN,10,350,1,32,0.16104929087062678,0.29731637239456177
standard_NN,10,350,1,33,0.15650319370130697,0.29821479320526123
standard_NN,10,350,1,34,0.1553056500852108,0.2929689288139343
standard_NN,10,350,1,35,0.15461711771786213,0.29293984174728394
standard_NN,10,350,1,36,0.1496636817852656,0.2877054214477539
standard_NN,10,350,1,37,0.1498543843626976,0.29010599851608276
standard_NN,10,350,1,38,0.14063867616156736,0.2832499146461487
standard_NN,10,350,1,39,0.1413492684563001,0.2832890450954437
standard_NN,10,350,1,40,0.1402928171058496,0.27786722779273987
standard_NN,10,350,1,41,0.14290985092520714,0.2842521369457245
standard_NN,10,350,1,42,0.13202087146540484,0.27442023158073425
standard_NN,10,350,1,43,0.1789724895109733,0.2810627520084381
standard_NN,10,350,1,44,0.12446929514408112,0.26879915595054626
standard_NN,10,350,1,45,0.1258583621432384,0.2765008807182312
standard_NN,10,350,1,46,0.11990083878238995,0.27393659949302673
standard_NN,10,350,1,47,0.14108748733997345,0.27510449290275574
standard_NN,10,350,1,48,0.10803089601298173,0.2666432559490204
standard_NN,10,350,1,49,0.10368964013954003,0.27033644914627075
standard_NN,10,350,1,50,0.13386899853746095,0.2718229591846466
standard_NN,10,350,1,51,0.09702849636475246,0.2664420008659363
standard_NN,10,350,1,52,0.09462366718798876,0.27076002955436707
standard_NN,10,350,1,53,0.09169911220669746,0.2704300582408905
standard_NN,10,350,1,54,0.09335814975202084,0.27400919795036316
standard_NN,10,350,1,55,0.08509985233346622,0.26907628774642944
standard_NN,10,350,1,56,0.08902589604258537,0.2683403193950653
standard_NN,10,350,1,57,0.08100204914808273,0.2697244882583618
standard_NN,10,350,1,58,0.07783197394261758,0.27178245782852173
standard_NN,10,350,1,59,0.0752260833978653,0.26844415068626404
standard_NN,10,350,1,60,0.07221136738856633,0.26603424549102783
standard_NN,10,350,1,61,0.08976267992208402,0.27156493067741394
standard_NN,10,350,1,62,0.06511788132290046,0.2686762809753418
standard_NN,10,350,1,63,0.06303447453926007,0.26817846298217773
standard_NN,10,350,1,64,0.05892910280575355,0.26514944434165955
standard_NN,10,350,1,65,0.05968512439479431,0.2691730558872223
standard_NN,10,350,1,66,0.06390395294874907,0.2716284990310669
standard_NN,10,350,1,67,0.058309257651368775,0.27777615189552307
standard_NN,10,350,1,68,0.054147725303967796,0.2685058116912842
standard_NN,10,350,1,69,0.0527652877693375,0.2802945077419281
standard_NN,10,350,1,70,0.048283002649744354,0.2728099822998047
standard_NN,10,350,1,71,0.04970398762573799,0.272795170545578
standard_NN,10,350,1,72,0.05078374594449997,0.27052542567253113
standard_NN,10,350,1,73,0.045468052849173546,0.2740947902202606
