L,b,h,E,rho,damping_ratio,force_amplitude,excitation_frequency,observation_point,simulation_time,time_step,number_of_modes,f1,f2,f3,f4,peak_displacement,rms_displacement,first_natural_frequency,modal_stiffness,modal_mass,frequency_ratio,resonance_proximity
1.0808507664193283,0.0770396156077214,0.0193464441562587,191045594742.2212,7851.318193097253,0.0140861859862943,5.519970766544543,58.80146999636387,0.65,2.0,0.002,4,37.04214804154423,148.16859216617692,333.37933237389814,592.6743686647077,1.5550529793088725e-05,5.0177858924641365e-06,37.042148041544195,342567.09268321545,6.3240250128777635,1.5874206304239096,0.5874206304239096
2.9513556837958035,0.0341366140758689,0.0080196977755819,204835011743.2904,7822.474633429914,0.0151633167701555,6.736612158918698,0.8003076860942735,0.65,2.0,0.002,4,2.1363586637823766,8.545434655129506,19.22722797404139,34.181738620518026,0.0307623857403878,0.0167760097598273,2.136358663782374,569.4062546087515,3.160197055562606,0.37461298033044094,0.625387019669559
2.782254257289617,0.0749966480738674,0.0161953589858991,188013447631.11435,7815.418908861406,0.0327197285955549,7.756397183725521,5.077790273958217,0.65,2.0,0.002,4,4.653122946060404,18.612491784241616,41.87810651454364,74.44996713696646,0.0074034281370272,0.0041836965325961,4.653122946060401,11287.566079371374,13.205398564468142,1.0912650133728712,0.09126501337287118
1.1775653768459855,0.0666644288485785,0.0174585215416232,187048252287.56265,7969.056920652817,0.0329413027724974,5.395875720878805,38.95919569121337,0.65,2.0,0.002,4,27.659226081651465,110.63690432660586,248.9330347348632,442.5476173064234,4.590467263847514e-05,1.629936619959446e-05,27.65922608165143,164931.41005508564,5.460891990848522,1.4085425086082979,0.4085425086082979
1.6623564899242649,0.0700966647591768,0.0184385527696382,199333400528.64548,7957.715707792297,0.0174561479325971,6.61849091921443,5.426158922170924,0.65,2.0,0.002,4,15.142709330846497,60.57083732338598,136.28438397761846,242.28334929354392,0.0001224205648136,6.620625196658826e-05,15.142709330846445,77388.01035737038,8.54883180089433,0.3583347473438964,0.6416652526561035
2.0254641286002224,0.045978349572066,0.0055376412712724,218390980893.1688,7641.201073652063,0.0068485591987181,2.536059453898891,1.040415600690709,0.65,2.0,0.002,4,3.2722124738768827,13.088849895507533,29.449912264891942,52.35539958203013,0.0050790300786726,0.0027952416388909,3.272212473876854,832.8697976219003,1.9703091994769204,0.3179547810530912,0.6820452189469088
2.351379017248405,0.0454208549556976,0.0122283600137173,185612820718.2342,7808.602433079311,0.0444675515976044,4.658453824487921,9.233559279043298,0.65,2.0,0.002,4,4.889557108355917,19.55822843342367,44.00601397520325,78.23291373369467,0.0012028376258345,0.000457149191112,4.889557108355889,4812.694095686503,5.099052405083768,1.8884244675788393,0.8884244675788393
1.7863471310829542,0.0235769497264156,0.0198194955015149,206150135211.8529,7877.20072417295,0.0173567957486742,8.205174250463664,17.33925022585063,0.65,2.0,0.002,4,14.40774428192282,57.63097712769128,129.66969853730538,230.52390851076512,0.001317580558383,0.0005366808225999,14.40774428192281,26942.612591513283,3.287668239955014,1.2034673774440832,0.20346737744408316
2.257502224503737,0.0504952074641078,0.0189958711983623,196925293035.83847,7654.236103183278,0.0198385491760857,3.992796918608189,10.713117962428448,0.65,2.0,0.002,4,8.572982147264886,34.291928589059545,77.15683932538398,137.16771435623818,0.0007439061178462,0.0003093132300888,8.572982147264874,24045.454926350645,8.287230581714558,1.2496372648864507,0.24963726488645066
1.2256098962647417,0.0668740211642996,0.0057060880111989,201754044487.57956,7824.985732617007,0.0336182593824794,3.2247003969459493,2.120857587736934,0.65,2.0,0.002,4,8.746464736577844,34.985858946311374,78.7181826292006,139.9434357852455,0.0004882952290306,0.0003051715892445,8.746464736577838,5526.1994815083135,1.8297919895603405,0.24248169421726215,0.7575183057827378
