model,epoch,training_loss,validation_loss
standard_NN,1,0.673514169996435,0.3330112397670746
standard_NN,2,0.27719748744910416,0.2371668517589569
standard_NN,3,0.22477981238202616,0.19888371229171753
standard_NN,4,0.19828931726515292,0.18204346299171448
standard_NN,5,0.18175778890197927,0.16910341382026672
standard_NN,6,0.17097732384096492,0.15933215618133545
standard_NN,7,0.16749591881578618,0.15709681808948517
standard_NN,8,0.16340435343709858,0.16037528216838837
standard_NN,9,0.16331717404113574,0.14983126521110535
standard_NN,10,0.15597095706246117,0.14700381457805634
standard_NN,11,0.15139508406546984,0.14683358371257782
standard_NN,12,0.1493945866145871,0.14583325386047363
standard_NN,13,0.148665424707261,0.1452392339706421
standard_NN,14,0.15042405209758064,0.14875157177448273
standard_NN,15,0.148301704431122,0.14398185908794403
standard_NN,16,0.1417628944851458,0.13944241404533386
standard_NN,17,0.14418919794261456,0.14088833332061768
standard_NN,18,0.13785662761127407,0.14186504483222961
standard_NN,19,0.1351212527602911,0.14172521233558655
standard_NN,20,0.13608387827195906,0.1437407284975052
standard_NN,21,0.13717378123917362,0.13883322477340698
standard_NN,22,0.137404179810123,0.14043931663036346
standard_NN,23,0.13109583253548904,0.13866786658763885
standard_NN,24,0.12944935817610134,0.13962948322296143
standard_NN,25,0.12567183893512596,0.14646108448505402
standard_NN,26,0.1329482174563137,0.13690972328186035
standard_NN,27,0.12810041569173336,0.15502144396305084
standard_NN,28,0.13206479918550362,0.13240903615951538
standard_NN,29,0.12258809369734743,0.13416840136051178
standard_NN,30,0.12203349687836387,0.13515561819076538
standard_NN,31,0.12338541671633721,0.13562804460525513
standard_NN,32,0.11992119210348888,0.13232986629009247
standard_NN,33,0.12337875261225484,0.12957318127155304
standard_NN,34,0.1199393928558989,0.15026742219924927
standard_NN,35,0.11330315281044354,0.1285126507282257
standard_NN,36,0.11646358838135545,0.13930751383304596
standard_NN,37,0.11748257492753593,0.1336977183818817
standard_NN,38,0.11627457866614516,0.1298990100622177
standard_NN,39,0.10638787163929506,0.13139383494853973
standard_NN,40,0.10916922949254512,0.12965266406536102
standard_NN,41,0.10424350395968014,0.12594632804393768
standard_NN,42,0.1048361926254901,0.13948743045330048
standard_NN,43,0.10406563312492588,0.13374704122543335
standard_NN,44,0.10390550649978898,0.1287514716386795
standard_NN,45,0.10017437750304287,0.1287820190191269
standard_NN,46,0.09589683147655292,0.1413884460926056
standard_NN,47,0.0972116597335447,0.12283533066511154
standard_NN,48,0.09484474818137559,0.1245623379945755
