model,epoch,training_loss,validation_loss
physics_guided_NN,1,0.6514428280971267,0.25949257612228394
physics_guided_NN,2,0.19654975245622072,0.16254153847694397
physics_guided_NN,3,0.13718569397249006,0.11669670790433884
physics_guided_NN,4,0.10195382279767232,0.09041861444711685
physics_guided_NN,5,0.08461485904726115,0.07931192964315414
physics_guided_NN,6,0.07228886920281431,0.06858786195516586
physics_guided_NN,7,0.062350051824680786,0.06529530882835388
physics_guided_NN,8,0.05363643268461932,0.05489226058125496
physics_guided_NN,9,0.04747363780201836,0.05601226165890694
physics_guided_NN,10,0.044098797948523,0.048021577298641205
physics_guided_NN,11,0.03755375146019188,0.04557640850543976
physics_guided_NN,12,0.037113867700099945,0.041196368634700775
physics_guided_NN,13,0.03086251395500519,0.03842654079198837
physics_guided_NN,14,0.027655313968319783,0.034058768302202225
physics_guided_NN,15,0.03158769397573038,0.047144751995801926
physics_guided_NN,16,0.02465893461961638,0.032396528869867325
physics_guided_NN,17,0.02136247133920816,0.031040703877806664
physics_guided_NN,18,0.01939290880479596,0.02554735727608204
physics_guided_NN,19,0.01747987318614667,0.022407948970794678
physics_guided_NN,20,0.016943223647434603,0.0242519099265337
physics_guided_NN,21,0.015181476948782802,0.01901085488498211
physics_guided_NN,22,0.015940977992828596,0.02235489711165428
physics_guided_NN,23,0.015643290265209296,0.018409889191389084
physics_guided_NN,24,0.011028081068599765,0.020717984065413475
physics_guided_NN,25,0.011427091481164098,0.018815824761986732
physics_guided_NN,26,0.011277697108347308,0.019166091457009315
physics_guided_NN,27,0.0103846050248566,0.026829788461327553
physics_guided_NN,28,0.011479596924883399,0.01516732107847929
physics_guided_NN,29,0.008976164748045532,0.0184963196516037
physics_guided_NN,30,0.009660618210380728,0.01818625070154667
physics_guided_NN,31,0.008138303259726275,0.01676928997039795
physics_guided_NN,32,0.006653043449941006,0.02115267887711525
physics_guided_NN,33,0.007660152344033122,0.01577151007950306
physics_guided_NN,34,0.006433926520615139,0.014908438548445702
physics_guided_NN,35,0.005476121310229329,0.014463916420936584
physics_guided_NN,36,0.005517388281243091,0.01694565825164318
physics_guided_NN,37,0.006859641481952911,0.016925472766160965
physics_guided_NN,38,0.005593295545655895,0.01494433730840683
physics_guided_NN,39,0.005362940727817741,0.015974337235093117
physics_guided_NN,40,0.005155405988493426,0.015181885100901127
physics_guided_NN,41,0.005217421581883999,0.0130325211212039
physics_guided_NN,42,0.004736583580432291,0.01508441474288702
physics_guided_NN,43,0.005212064671584151,0.014507402665913105
physics_guided_NN,44,0.004120424296706915,0.011069918982684612
physics_guided_NN,45,0.004039402009749954,0.01196996495127678
physics_guided_NN,46,0.004162546085320752,0.01477478351444006
physics_guided_NN,47,0.0037171558222987436,0.01339694019407034
physics_guided_NN,48,0.011316661136648195,0.016020681709051132
physics_guided_NN,49,0.0068044730800796635,0.020194493234157562
physics_guided_NN,50,0.004405763178047808,0.012327054515480995
physics_guided_NN,51,0.004432936944067478,0.011975339613854885
physics_guided_NN,52,0.0030879930296743457,0.011502702720463276
