model,output,rmse,mae,r2,training_time_seconds,prediction_time_seconds
Linear_Regression,f1,2.9672920455778318,2.1110694917594834,0.8402646445840171,0.012415750010404736,0.001271541987080127
Linear_Regression,f2,11.869168182311327,8.444277967037932,0.8402646445840172,0.012415750010404736,0.001271541987080127
Linear_Regression,f3,26.705628410200486,18.999625425835358,0.8402646445840171,0.012415750010404736,0.001271541987080127
Linear_Regression,f4,47.47667272924531,33.777111868151735,0.8402646445840171,0.012415750010404736,0.001271541987080127
Linear_Regression,peak_displacement,0.01950655808533375,0.009777496592718038,0.24412717317846744,0.012415750010404736,0.001271541987080127
Linear_Regression,rms_displacement,0.009781838971672632,0.005034876007646099,0.24785476260864292,0.012415750010404736,0.001271541987080127
Linear_Regression,average,14.841341627398661,10.557816187564146,0.6421734190205298,0.012415750010404736,0.001271541987080127
Random_Forest,f1,0.3455286939113125,0.20806932399495,0.9978340486143207,1.155544540961273,0.03908641601447016
Random_Forest,f2,1.3821147756452499,0.8322772959797998,0.9978340486143207,1.155544540961273,0.03908641601447016
Random_Forest,f3,3.1097582452018098,1.8726239159545466,0.9978340486143207,1.155544540961273,0.03908641601447016
Random_Forest,f4,5.528459102580998,3.329109183919199,0.9978340486143207,1.155544540961273,0.03908641601447016
Random_Forest,peak_displacement,0.01776162843329217,0.006434182800255343,0.3733096555165746,1.155544540961273,0.03908641601447016
Random_Forest,rms_displacement,0.008818316825150803,0.0032875328111973624,0.3887313993265328,1.155544540961273,0.03908641601447016
Random_Forest,average,1.7320734604329688,1.0419669059099912,0.792229541550065,1.155544540961273,0.03908641601447016
Gradient_Boosting,f1,0.389859329552552,0.2580297511391054,0.9972426218435244,11.13148729200475,0.016624582989607006
Gradient_Boosting,f2,1.559437318210207,1.0321190045564215,0.9972426218435244,11.13148729200475,0.016624582989607006
Gradient_Boosting,f3,3.5087339659729633,2.322267760251948,0.9972426218435244,11.13148729200475,0.016624582989607006
Gradient_Boosting,f4,6.237749272840832,4.12847601822569,0.9972426218435244,11.13148729200475,0.016624582989607006
Gradient_Boosting,peak_displacement,0.015442006762962562,0.005468930982029061,0.5263092336944857,11.13148729200475,0.016624582989607006
Gradient_Boosting,rms_displacement,0.007633717255180928,0.0028149787362541233,0.5419289643799784,11.13148729200475,0.016624582989607006
Gradient_Boosting,average,1.953142601765783,1.2915294073152412,0.8428681142414268,11.13148729200475,0.016624582989607006
