model,output,rmse,mae,r2,training_time_seconds,prediction_time_seconds
Linear_Regression,f1,2.967292045577832,2.1110694917594834,0.8402646445840171,0.0124157500104047,0.0012715419870801
Linear_Regression,f2,11.869168182311329,8.444277967037932,0.8402646445840172,0.0124157500104047,0.0012715419870801
Linear_Regression,f3,26.70562841020049,18.99962542583536,0.8402646445840171,0.0124157500104047,0.0012715419870801
Linear_Regression,f4,47.47667272924531,33.777111868151735,0.8402646445840171,0.0124157500104047,0.0012715419870801
Linear_Regression,peak_displacement,0.0195065580853337,0.009777496592718,0.2441271731784674,0.0124157500104047,0.0012715419870801
Linear_Regression,rms_displacement,0.0097818389716726,0.005034876007646,0.2478547626086429,0.0124157500104047,0.0012715419870801
Linear_Regression,average,14.84134162739866,10.557816187564146,0.6421734190205298,0.0124157500104047,0.0012715419870801
Random_Forest,f1,0.3455286939113125,0.20806932399495,0.9978340486143208,1.155544540961273,0.0390864160144701
Random_Forest,f2,1.38211477564525,0.8322772959797998,0.9978340486143208,1.155544540961273,0.0390864160144701
Random_Forest,f3,3.1097582452018098,1.8726239159545464,0.9978340486143208,1.155544540961273,0.0390864160144701
Random_Forest,f4,5.528459102580998,3.329109183919199,0.9978340486143208,1.155544540961273,0.0390864160144701
Random_Forest,peak_displacement,0.0177616284332921,0.0064341828002553,0.3733096555165746,1.155544540961273,0.0390864160144701
Random_Forest,rms_displacement,0.0088183168251508,0.0032875328111973,0.3887313993265328,1.155544540961273,0.0390864160144701
Random_Forest,average,1.7320734604329688,1.0419669059099912,0.792229541550065,1.155544540961273,0.0390864160144701
Gradient_Boosting,f1,0.389859329552552,0.2580297511391054,0.9972426218435244,11.13148729200475,0.016624582989607
Gradient_Boosting,f2,1.559437318210207,1.0321190045564217,0.9972426218435244,11.13148729200475,0.016624582989607
Gradient_Boosting,f3,3.5087339659729637,2.322267760251948,0.9972426218435244,11.13148729200475,0.016624582989607
Gradient_Boosting,f4,6.237749272840832,4.12847601822569,0.9972426218435244,11.13148729200475,0.016624582989607
Gradient_Boosting,peak_displacement,0.0154420067629625,0.005468930982029,0.5263092336944857,11.13148729200475,0.016624582989607
Gradient_Boosting,rms_displacement,0.0076337172551809,0.0028149787362541,0.5419289643799784,11.13148729200475,0.016624582989607
Gradient_Boosting,average,1.953142601765783,1.2915294073152412,0.8428681142414268,11.13148729200475,0.016624582989607
Neural_Network,f1,0.30657756772911976,0.19883792748721396,0.9982948553906152,46.588624291005544,0.0007509169809054583
Neural_Network,f2,1.2385210887918934,0.8045801342706472,0.9982607288356011,46.588624291005544,0.0007509169809054583
Neural_Network,f3,2.7591164107047716,1.7999512635649484,0.9982949563665496,46.588624291005544,0.0007509169809054583
Neural_Network,f4,4.936726032745353,3.1957254723498094,0.9982728957409511,46.588624291005544,0.0007509169809054583
Neural_Network,peak_displacement,0.011196941529719857,0.0029636185855543137,0.7509501622724437,46.588624291005544,0.0007509169809054583
Neural_Network,rms_displacement,0.005587448590413735,0.001514489619451793,0.7545925334836621,46.588624291005544,0.0007509169809054583
