model,architecture,learning_rate,batch_size,average_frequency_r2,peak_displacement_r2,rms_displacement_r2,average_displacement_r2,best_validation_loss,epochs,training_time_seconds,prediction_time_seconds
NN1_baseline,64-64-32,0.001,64,0.998189533336116,0.7076045697832949,0.7086807279286933,0.7081426488559941,0.08024421334266663,273,36.80645549998735,0.0006346250011119992
NN5_low_learning_rate,64-64-32,0.0001,64,0.9963789798897392,0.5480241130857587,0.5448553468070976,0.5464397299464281,0.12851925194263458,346,47.16881662499509,0.0006484999903477728
NN3_wider,128-64-32,0.001,64,0.9962053337138528,0.5435242193712515,0.5396254324463278,0.5415748259087896,0.1382731944322586,78,11.472147125023184,0.0015931249945424497
NN4_larger,128-128-64,0.001,64,0.9964203780711166,0.5380177584733415,0.5319952362039593,0.5350064973386504,0.13172566890716553,89,15.197964749997482,0.0011192919919267297
NN7_small_batch,64-64-32,0.001,32,0.9970012450931283,0.5344177880258942,0.5331075894185106,0.5337626887222024,0.1293174773454666,85,18.078308791999007,0.0017832500161603093
NN2_smaller,32-32,0.001,64,0.9977714800776656,0.520675328061045,0.5216988177701425,0.5211870729155937,0.13077646493911743,122,11.121705375000602,0.0002651670074556023
NN6_high_learning_rate,64-64-32,0.01,64,0.9936567321027688,0.5030012796217433,0.5008040269775846,0.501902653299664,0.14042367041110992,69,9.7374718329811,0.0005547089967876673
NN8_large_batch,64-64-32,0.001,128,0.9957677262080925,0.4746578529024005,0.4759498103773956,0.47530383163989803,0.12478785216808319,135,10.73941675000242,0.0005993340164422989
