model,architecture,learning_rate,batch_size,output,rmse,mae,r2,best_validation_loss,epochs,training_time_seconds,prediction_time_seconds
NN4_larger,128-128-64,0.001,64,f3,3.98896377511395,2.4552754148290967,0.9964361810437773,0.13172566890716553,89,15.197964749997482,0.0011192919919267297
NN4_larger,128-128-64,0.001,64,f4,7.19166704120864,4.270478262379799,0.9963347833824101,0.13172566890716553,89,15.197964749997482,0.0011192919919267297
NN4_larger,128-128-64,0.001,64,peak_displacement,0.015249967552904652,0.005034977258312996,0.5380177584733415,0.13172566890716553,89,15.197964749997482,0.0011192919919267297
NN4_larger,128-128-64,0.001,64,rms_displacement,0.00771604569917714,0.0025781803177190874,0.5319952362039593,0.13172566890716553,89,15.197964749997482,0.0011192919919267297
NN5_low_learning_rate,64-64-32,0.0001,64,f1,0.45074829528851085,0.2987820972473917,0.9963140566727337,0.12851925194263458,346,47.16881662499509,0.0006484999903477728
NN5_low_learning_rate,64-64-32,0.0001,64,f2,1.762343632422705,1.165228054168756,0.9964783866431778,0.12851925194263458,346,47.16881662499509,0.0006484999903477728
NN5_low_learning_rate,64-64-32,0.0001,64,f3,4.045128523476225,2.694378789978549,0.9963351171368954,0.12851925194263458,346,47.16881662499509,0.0006484999903477728
NN5_low_learning_rate,64-64-32,0.0001,64,f4,7.1389120196660665,4.710940964096083,0.9963883591061502,0.12851925194263458,346,47.16881662499509,0.0006484999903477728
NN5_low_learning_rate,64-64-32,0.0001,64,peak_displacement,0.015083909275583948,0.005312561396370166,0.5480241130857587,0.12851925194263458,346,47.16881662499509,0.0006484999903477728
NN5_low_learning_rate,64-64-32,0.0001,64,rms_displacement,0.007609294221289913,0.002792595006759557,0.5448553468070976,0.12851925194263458,346,47.16881662499509,0.0006484999903477728
NN6_high_learning_rate,64-64-32,0.01,64,f1,0.591255781143981,0.4137210730712659,0.9936579265414445,0.14042367041110992,69,9.7374718329811,0.0005547089967876673
NN6_high_learning_rate,64-64-32,0.01,64,f2,2.37512278683656,1.6581941556936028,0.9936036441407785,0.14042367041110992,69,9.7374718329811,0.0005547089967876673
NN6_high_learning_rate,64-64-32,0.01,64,f3,5.353480050092049,3.7477720078496883,0.993580993344253,0.14042367041110992,69,9.7374718329811,0.0005547089967876673
NN6_high_learning_rate,64-64-32,0.01,64,f4,9.36531786241231,6.665120903497665,0.9937843643845993,0.14042367041110992,69,9.7374718329811,0.0005547089967876673
NN6_high_learning_rate,64-64-32,0.01,64,peak_displacement,0.015817356899570093,0.005564061405849867,0.5030012796217433,0.14042367041110992,69,9.7374718329811,0.0005547089967876673
NN6_high_learning_rate,64-64-32,0.01,64,rms_displacement,0.007969025029737977,0.002974141133286204,0.5008040269775846,0.14042367041110992,69,9.7374718329811,0.0005547089967876673
NN7_small_batch,64-64-32,0.001,32,f1,0.41856501743350444,0.2930144132776426,0.9968216163036566,0.1293174773454666,85,18.078308791999007,0.0017832500161603093
NN7_small_batch,64-64-32,0.001,32,f2,1.6595646938528252,1.1620274923521683,0.9968771662894526,0.1293174773454666,85,18.078308791999007,0.0017832500161603093
NN7_small_batch,64-64-32,0.001,32,f3,3.5692755627489565,2.4899104831650196,0.9971466463259196,0.1293174773454666,85,18.078308791999007,0.0017832500161603093
NN7_small_batch,64-64-32,0.001,32,f4,6.331013099716126,4.4246051348363595,0.9971595514534839,0.1293174773454666,85,18.078308791999007,0.0017832500161603093
NN7_small_batch,64-64-32,0.001,32,peak_displacement,0.015309269504466228,0.005390528991861155,0.5344177880258942,0.1293174773454666,85,18.078308791999007,0.0017832500161603093
NN7_small_batch,64-64-32,0.001,32,rms_displacement,0.007706870499511762,0.0027971858347466912,0.5331075894185106,0.1293174773454666,85,18.078308791999007,0.0017832500161603093
NN8_large_batch,64-64-32,0.001,128,f1,0.48463549078757917,0.32561055858540633,0.9957390062415707,0.12478785216808319,135,10.73941675000242,0.0005993340164422989
NN8_large_batch,64-64-32,0.001,128,f2,1.9580494195393907,1.2917521881774163,0.9956528184018322,0.12478785216808319,135,10.73941675000242,0.0005993340164422989
NN8_large_batch,64-64-32,0.001,128,f3,4.232163699201731,2.783750736619454,0.995988374674761,0.12478785216808319,135,10.73941675000242,0.0005993340164422989
NN8_large_batch,64-64-32,0.001,128,f4,7.797992903765521,5.051253717447188,0.9956907055142059,0.12478785216808319,135,10.73941675000242,0.0005993340164422989
NN8_large_batch,64-64-32,0.001,128,peak_displacement,0.016262128975769348,0.005738857960156148,0.4746578529024005,0.12478785216808319,135,10.73941675000242,0.0005993340164422989
NN8_large_batch,64-64-32,0.001,128,rms_displacement,0.0081649982406433,0.002953964157581376,0.4759498103773956,0.12478785216808319,135,10.73941675000242,0.0005993340164422989
