epoch,training_loss,validation_loss
1,0.8099032697352496,0.613173246383667
2,0.559019328111952,0.4741518497467041
3,0.4948948788371953,0.4384066164493561
4,0.47619470832022753,0.4352293610572815
5,0.5000569924712182,0.4121759533882141
6,0.4738065183162689,0.4280470311641693
7,0.4608664231544191,0.42151957750320435
8,0.4566068188033321,0.39688363671302795
9,0.4317526135932315,0.4046758711338043
10,0.4241493034091863,0.38992005586624146
11,0.43087037639184433,0.4788549840450287
12,0.43072211447764525,0.4024246037006378
13,0.42810288776050914,0.40165185928344727
14,0.42514550015330316,0.3964909315109253
15,0.4035095418718728,0.4007967412471771
16,0.38717616376551717,0.4016185998916626
17,0.38827764141288673,0.4050445854663849
18,0.373260445418683,0.43188798427581787
19,0.3820552484217015,0.3963662385940552
20,0.37277879186651924,0.4272978603839874
21,0.370679011805491,0.38853076100349426
22,0.35154515306719325,0.4038047790527344
23,0.3502577905966477,0.4007223844528198
24,0.3333892025053501,0.41921162605285645
25,0.4128780094060031,0.4021746814250946
26,0.3550412413748828,0.4107624888420105
27,0.31755552542480553,0.4056115746498108
28,0.3265337037769231,0.3901957869529724
29,0.31058242595331237,0.39198049902915955
30,0.3323249620131471,0.4051343500614166
31,0.3125843182206154,0.3924398124217987
32,0.30892783166332677,0.41325443983078003
33,0.2969635098156604,0.40978121757507324
34,0.2967589385807514,0.44289299845695496
35,0.2678403510966084,0.4094844460487366
36,0.26121680462224917,0.4432181715965271
37,0.2573358092795719,0.4114351272583008
38,0.2657773343676871,0.4448727071285248
39,0.296347218955105,0.4493001401424408
40,0.246992356414822,0.421365350484848
41,0.25157248425212775,0.40864673256874084
42,0.23352684612301264,0.434968501329422
43,0.22152227969332175,0.49852538108825684
44,0.21305307532575998,0.4435882866382599
45,0.20511931970038197,0.4395260810852051
46,0.19630856767974117,0.4321017563343048
47,0.19738682093606755,0.4531332552433014
48,0.21061291000382468,0.43083900213241577
49,0.22637813131917606,0.43460458517074585
50,0.20895046303895387,0.4824711084365845
51,0.1926370740952817,0.4349305033683777
52,0.19876377887346527,0.47455349564552307
53,0.17833094803447072,0.43396326899528503
54,0.16462754254991357,0.4601936936378479
55,0.20262711776251144,0.44252970814704895
56,0.18472587103870783,0.42591938376426697
57,0.1864949502220208,0.4701123535633087
58,0.17526494481346824,0.42737260460853577
59,0.18943386734886603,0.4960556626319885
60,0.16834565404463897,0.4800202250480652
61,0.15119721218943596,0.45668384432792664
62,0.15765346600250765,0.4556857943534851
63,0.1462183111093261,0.4432159960269928
64,0.14089337699115276,0.5055729150772095
65,0.15481579926880923,0.477984219789505
66,0.13753224838186395,0.48419326543807983
67,0.13255400432443076,0.5122039318084717
68,0.14350067736072974,0.45725804567337036
69,0.14881731400435622,0.4772959053516388
70,0.12948592186651448,0.4729855954647064
71,0.12968553528189658,0.46687325835227966
