model,output,rmse,mae,r2,best_validation_loss,epochs,training_time_seconds,prediction_time_seconds
Original_Targets,f1,0.3138944813395003,0.2188682422318351,0.9982124926826151,0.08024421334266663,273,34.747094416001346,0.0005475000070873648
Original_Targets,f2,1.276724891817682,0.9046551255240382,0.9981517737400479,0.08024421334266663,273,34.747094416001346,0.0005475000070873648
Original_Targets,f3,2.857471727377416,1.9967793259478328,0.9981712289718366,0.08024421334266663,273,34.747094416001346,0.0005475000070873648
Original_Targets,f4,5.008038977132648,3.489864871579802,0.9982226379499647,0.08024421334266663,273,34.747094416001346,0.0005475000070873648
Original_Targets,peak_displacement,0.01213225609844705,0.00382642237962961,0.7076045697832949,0.08024421334266663,273,34.747094416001346,0.0005475000070873648
Original_Targets,rms_displacement,0.006087714296680205,0.0019754129273102006,0.7086807279286933,0.08024421334266663,273,34.747094416001346,0.0005475000070873648
Log_Transformed_Targets,f1,0.4559004987541835,0.30610842345947065,0.9962293119698656,0.12264715135097504,97,13.18958258299972,0.0006768339953850955
Log_Transformed_Targets,f2,1.8238004231208649,1.2301304623683633,0.996228491339941,0.12264715135097504,97,13.18958258299972,0.0006768339953850955
Log_Transformed_Targets,f3,4.046340666469187,2.7317255256904573,0.996332920406856,0.12264715135097504,97,13.18958258299972,0.0006768339953850955
Log_Transformed_Targets,f4,6.9375340295493855,4.687986237592101,0.9965892431880428,0.12264715135097504,97,13.18958258299972,0.0006768339953850955
Log_Transformed_Targets,peak_displacement,0.01568077092267344,0.005342605041931192,0.5115475828281506,0.12264715135097504,97,13.18958258299972,0.0006768339953850955
Log_Transformed_Targets,rms_displacement,0.007915883850543214,0.0028001042299711904,0.5074395720965258,0.12264715135097504,97,13.18958258299972,0.0006768339953850955
