experiment,case,model_standard,output,rmse_standard,mae_standard,maximum_absolute_error_standard,monotonicity_violation_rate_standard,force_proportionality_error_standard,near_resonance_rmse_standard,resonance_location_error_standard,resonance_amplitude_relative_error_standard,model_physics,rmse_physics,mae_physics,maximum_absolute_error_physics,monotonicity_violation_rate_physics,force_proportionality_error_physics,near_resonance_rmse_physics,resonance_location_error_physics,resonance_amplitude_relative_error_physics,rmse_reduction_percent,better_rmse_model
force_sweep,frequency_ratio_0.60,standard_NN,f1,0.11122714927544548,0.10022487135730594,0.20550614774223153,,,,,,physics_guided_NN,0.07000340893927,0.052458302179972334,0.1614882332086962,,,,,,37.06266015511021,physics_guided_NN
force_sweep,frequency_ratio_0.60,standard_NN,f2,0.41546227498264965,0.37762678035109876,0.7306549620626761,,,,,,physics_guided_NN,0.35111554602507206,0.2508883794148763,0.8428027558328317,,,,,,15.487983586539793,physics_guided_NN
force_sweep,frequency_ratio_0.60,standard_NN,f3,1.0241581337804364,0.9460074129504117,1.5919926923509848,,,,,,physics_guided_NN,0.9251982693181003,0.6853354554970584,2.1025530534986245,,,,,,9.662557099170735,physics_guided_NN
force_sweep,frequency_ratio_0.60,standard_NN,f4,1.5295154396853083,1.1904707476300567,3.8123903560632044,,,,,,physics_guided_NN,1.55528404757236,1.2869637845356408,3.258425683975858,,,,,,-1.6847563102961147,standard_NN
force_sweep,frequency_ratio_0.60,standard_NN,peak_displacement,0.00088154914604947,0.0008455013519195081,0.0013876605857853727,0.0,1.4453909727706675,,,,physics_guided_NN,0.0002647238834580662,0.00017797988957029745,0.0006365151076003256,0.10344827586206896,0.12833395514500542,,,,69.9706040616809,physics_guided_NN
force_sweep,frequency_ratio_0.60,standard_NN,rms_displacement,0.0005532955933131026,0.000515655058345251,0.000814909182198032,0.0,1.4006061987267218,,,,physics_guided_NN,0.00010386744467598265,8.178229823804712e-05,0.00020459686598829944,0.0,0.23136759844987315,,,,81.22749468253843,physics_guided_NN
force_sweep,frequency_ratio_0.90,standard_NN,f1,0.1082215324580103,0.09908386361601362,0.1665527206659716,,,,,,physics_guided_NN,0.0459703236590906,0.03981831820806932,0.09031361162666496,,,,,,57.52201746271984,physics_guided_NN
force_sweep,frequency_ratio_0.90,standard_NN,f2,0.5334138308681498,0.49080304622660786,0.7558219361306833,,,,,,physics_guided_NN,0.27038966226741373,0.23312473106388534,0.6202380585672067,,,,,,49.30958917444172,physics_guided_NN
force_sweep,frequency_ratio_0.90,standard_NN,f3,1.0799047154675563,0.9873154980741096,1.5989824968579995,,,,,,physics_guided_NN,0.6595096065204029,0.5546839830081619,1.5645357805494058,,,,,,38.9289076087735,physics_guided_NN
force_sweep,frequency_ratio_0.90,standard_NN,f4,1.40636710048058,1.2539019769035775,2.1008196163171107,,,,,,physics_guided_NN,0.9770739307897022,0.8292885328931608,2.000246973038358,,,,,,30.524972430326404,physics_guided_NN
force_sweep,frequency_ratio_0.90,standard_NN,peak_displacement,0.0029345435427715677,0.002882648915044475,0.0035960310043568543,0.13793103448275862,1.6871357492844394,,,,physics_guided_NN,0.0003166783735823484,0.00028348525116047186,0.0005480192618708016,0.0,0.2957638920483609,,,,89.20859857873305,physics_guided_NN
force_sweep,frequency_ratio_0.90,standard_NN,rms_displacement,0.0014894360854523572,0.001446413502640672,0.0019353787236177464,0.1724137931034483,1.6907805862735832,,,,physics_guided_NN,0.0002529089097180097,0.00022415577907452716,0.00040398844829661173,0.0,0.4596136363196309,,,,83.01982124723408,physics_guided_NN
force_sweep,frequency_ratio_1.00,standard_NN,f1,0.1156812006181024,0.10372383884591271,0.18172806322578605,,,,,,physics_guided_NN,0.06021811446747796,0.044576183478048155,0.12268084108833488,,,,,,47.94477050227406,physics_guided_NN
force_sweep,frequency_ratio_1.00,standard_NN,f2,0.5760236720801356,0.5127171468735805,0.8714015412332223,,,,,,physics_guided_NN,0.14864109592563932,0.1221947987874349,0.2887561249734567,,,,,,74.19531468405337,physics_guided_NN
force_sweep,frequency_ratio_1.00,standard_NN,f3,1.1631525224939268,1.0264586153429898,1.8865191179517495,,,,,,physics_guided_NN,0.3243242041570203,0.2899005874791309,0.5425656598802817,,,,,,72.11679484117582,physics_guided_NN
force_sweep,frequency_ratio_1.00,standard_NN,f4,1.420222210282702,1.2786834564212388,2.338564844132108,,,,,,physics_guided_NN,0.8004327982569553,0.6114329522453744,1.4976072025305456,,,,,,43.64031258899793,physics_guided_NN
force_sweep,frequency_ratio_1.00,standard_NN,peak_displacement,0.005538387150144511,0.0043504495094681215,0.011010327010840381,0.1724137931034483,0.5162179087416187,,,,physics_guided_NN,0.0017027516572013324,0.0013116358981413454,0.0031527986403131203,0.0,0.25432684628389784,,,,69.2554599192853,physics_guided_NN
