model,training_percentage,training_samples,repeat,epoch,training_loss,validation_loss
standard_NN,25,875,3,1,0.9713659158774784,0.8691887259483337
standard_NN,25,875,3,2,0.840116981949125,0.6765177845954895
standard_NN,25,875,3,3,0.5940385929175785,0.4476171135902405
standard_NN,25,875,3,4,0.4106134623289108,0.3373563587665558
standard_NN,25,875,3,5,0.32275691841329845,0.3083130419254303
standard_NN,25,875,3,6,0.29506830126047134,0.2839476466178894
standard_NN,25,875,3,7,0.27662529423832893,0.27013149857521057
standard_NN,25,875,3,8,0.2616008626563208,0.2525275647640228
standard_NN,25,875,3,9,0.24223370770258562,0.24103863537311554
standard_NN,25,875,3,10,0.2309354397335223,0.22773995995521545
standard_NN,25,875,3,11,0.21568012716514723,0.22402837872505188
standard_NN,25,875,3,12,0.2103560779775892,0.21320681273937225
standard_NN,25,875,3,13,0.20945945728038037,0.21281513571739197
standard_NN,25,875,3,14,0.20009123321090425,0.20861612260341644
standard_NN,25,875,3,15,0.18488209362008742,0.20025593042373657
standard_NN,25,875,3,16,0.18294108685638225,0.20200394093990326
standard_NN,25,875,3,17,0.17260025814175606,0.19821995496749878
standard_NN,25,875,3,18,0.16531325823494367,0.1942320019006729
standard_NN,25,875,3,19,0.16771910126720155,0.19665014743804932
standard_NN,25,875,3,20,0.15410848334431648,0.19337500631809235
standard_NN,25,875,3,21,0.14762887904154404,0.19188611209392548
standard_NN,25,875,3,22,0.17797714711299964,0.18832352757453918
standard_NN,25,875,3,23,0.13772192717130696,0.191728875041008
standard_NN,25,875,3,24,0.13403892091342381,0.1971443146467209
standard_NN,25,875,3,25,0.1547604180606348,0.191586434841156
standard_NN,25,875,3,26,0.12412889142121587,0.19452820718288422
standard_NN,25,875,3,27,0.11797132436186075,0.20078504085540771
standard_NN,25,875,3,28,0.11861614044755697,0.1939081847667694
standard_NN,25,875,3,29,0.115248725350414,0.19780248403549194
standard_NN,25,875,3,30,0.11118680232071451,0.19698484241962433
standard_NN,25,875,3,31,0.10208184671189104,0.19589561223983765
standard_NN,25,875,3,32,0.09953016714592065,0.1968160718679428
standard_NN,25,875,3,33,0.09506232770425933,0.19937066733837128
standard_NN,25,875,3,34,0.09033877655331578,0.2015380710363388
standard_NN,25,875,3,35,0.08707145282200404,0.19990292191505432
standard_NN,25,875,3,36,0.08869226569575923,0.2054392397403717
standard_NN,25,875,3,37,0.08839881539876972,0.20434638857841492
standard_NN,25,875,3,38,0.08391195775142737,0.20481471717357635
standard_NN,25,875,3,39,0.08610192167439631,0.205605611205101
standard_NN,25,875,3,40,0.07581169397703238,0.20820152759552002
standard_NN,25,875,3,41,0.0814912940508553,0.21658197045326233
standard_NN,25,875,3,42,0.07401508239230939,0.2088317573070526
standard_NN,25,875,3,43,0.07012578625498074,0.2205990105867386
standard_NN,25,875,3,44,0.0666238505925451,0.21069397032260895
standard_NN,25,875,3,45,0.06906281770872218,0.21995605528354645
standard_NN,25,875,3,46,0.06754339120483824,0.21171921491622925
standard_NN,25,875,3,47,0.05830623967839139,0.216781884431839
standard_NN,25,875,3,48,0.05829317069479397,0.2199264019727707
standard_NN,25,875,3,49,0.05531713120373232,0.22023265063762665
standard_NN,25,875,3,50,0.061275615489908626,0.21702906489372253
standard_NN,25,875,3,51,0.05752792242648346,0.22549113631248474
standard_NN,25,875,3,52,0.053204050354127376,0.22731302678585052
standard_NN,25,875,3,53,0.04917910109673228,0.22695571184158325
standard_NN,25,875,3,54,0.05292782120938812,0.2230319082736969
standard_NN,25,875,3,55,0.049474689178168774,0.2314624786376953
standard_NN,25,875,3,56,0.047737995096083195,0.2290729433298111
standard_NN,25,875,3,57,0.04433845090014594,0.2274133414030075
standard_NN,25,875,3,58,0.04505080876073667,0.23838378489017487
standard_NN,25,875,3,59,0.04606323675917728,0.23128078877925873
standard_NN,25,875,3,60,0.05041551766251879,0.2253267765045166
standard_NN,25,875,3,61,0.041378232317843607,0.23827818036079407
standard_NN,25,875,3,62,0.04407850632976208,0.2288614958524704
standard_NN,25,875,3,63,0.04052586534193584,0.2427665740251541
standard_NN,25,875,3,64,0.044129650840269666,0.2375268042087555
standard_NN,25,875,3,65,0.03692771700610008,0.239958718419075
standard_NN,25,875,3,66,0.038383598905056715,0.24576041102409363
standard_NN,25,875,3,67,0.036255385992782455,0.2461940050125122
standard_NN,25,875,3,68,0.037700610368379524,0.2559116780757904
standard_NN,25,875,3,69,0.035663414879568985,0.23646186292171478
standard_NN,25,875,3,70,0.037253878478493006,0.2498391717672348
standard_NN,25,875,3,71,0.035629088790821176,0.23894056677818298
standard_NN,25,875,3,72,0.035557232198438475,0.2457961142063141
