model,training_percentage,training_samples,repeat,epoch,training_loss,validation_loss
physics_guided_NN,100,3500,2,1,0.6116175769404931,0.25690537691116333
physics_guided_NN,100,3500,2,2,0.20064533214000138,0.15806561708450317
physics_guided_NN,100,3500,2,3,0.13763931491835552,0.11079712957143784
physics_guided_NN,100,3500,2,4,0.10360862829468467,0.08569233864545822
physics_guided_NN,100,3500,2,5,0.08519805708730763,0.07065746933221817
physics_guided_NN,100,3500,2,6,0.06880928682671351,0.06013358011841774
physics_guided_NN,100,3500,2,7,0.05695241871713237,0.05153875797986984
physics_guided_NN,100,3500,2,8,0.04760972987013784,0.04956217110157013
physics_guided_NN,100,3500,2,9,0.04202529421414841,0.04222980514168739
physics_guided_NN,100,3500,2,10,0.03783833481879397,0.04716308042407036
physics_guided_NN,100,3500,2,11,0.03389110471206633,0.03615206852555275
physics_guided_NN,100,3500,2,12,0.03299025882204825,0.03087284415960312
physics_guided_NN,100,3500,2,13,0.027864321727644314,0.029342830181121826
physics_guided_NN,100,3500,2,14,0.025897744357247243,0.037562232464551926
physics_guided_NN,100,3500,2,15,0.02565778353759511,0.029719136655330658
physics_guided_NN,100,3500,2,16,0.021776157431304455,0.023886024951934814
physics_guided_NN,100,3500,2,17,0.017650240371850402,0.0272161066532135
physics_guided_NN,100,3500,2,18,0.019407685477794572,0.020830877125263214
physics_guided_NN,100,3500,2,19,0.01568595742044801,0.019974445924162865
physics_guided_NN,100,3500,2,20,0.013289353598586538,0.026358475908637047
physics_guided_NN,100,3500,2,21,0.013422595624896613,0.021524548530578613
physics_guided_NN,100,3500,2,22,0.011537028692493385,0.022743767127394676
physics_guided_NN,100,3500,2,23,0.010485738139091568,0.017093149945139885
physics_guided_NN,100,3500,2,24,0.013007960146801039,0.017248673364520073
physics_guided_NN,100,3500,2,25,0.010719884496012872,0.015573203563690186
physics_guided_NN,100,3500,2,26,0.008551237385042688,0.015181330032646656
physics_guided_NN,100,3500,2,27,0.007712530657987703,0.015090816654264927
physics_guided_NN,100,3500,2,28,0.007474435855295848,0.013284232467412949
physics_guided_NN,100,3500,2,29,0.007914827865633097,0.021316876634955406
physics_guided_NN,100,3500,2,30,0.0072276011532680555,0.013746918179094791
physics_guided_NN,100,3500,2,31,0.006296150240285152,0.01534674596041441
physics_guided_NN,100,3500,2,32,0.0063457334943285044,0.015326278284192085
physics_guided_NN,100,3500,2,33,0.005410536592402919,0.013877726159989834
physics_guided_NN,100,3500,2,34,0.005063995829021389,0.01262708194553852
physics_guided_NN,100,3500,2,35,0.009264246696098283,0.017345154657959938
physics_guided_NN,100,3500,2,36,0.005054945380172946,0.013106253929436207
physics_guided_NN,100,3500,2,37,0.004252290461127731,0.013738127425312996
physics_guided_NN,100,3500,2,38,0.004368921369314193,0.011606250889599323
physics_guided_NN,100,3500,2,39,0.003908399054357274,0.012204117141664028
physics_guided_NN,100,3500,2,40,0.003645446921952746,0.011999019421637058
physics_guided_NN,100,3500,2,41,0.0034194007208994165,0.012612670660018921
physics_guided_NN,100,3500,2,42,0.0034330802398141137,0.012317623011767864
physics_guided_NN,100,3500,2,43,0.003276559597262266,0.013446441851556301
physics_guided_NN,100,3500,2,44,0.0030494174073365603,0.011214452795684338
physics_guided_NN,100,3500,2,45,0.0029950885461982003,0.01141397189348936
physics_guided_NN,100,3500,2,46,0.0028876452473923565,0.01361334603279829
physics_guided_NN,100,3500,2,47,0.003303234384987842,0.010833210311830044
physics_guided_NN,100,3500,2,48,0.002987022405828942,0.010781879536807537
physics_guided_NN,100,3500,2,49,0.0028844402594999834,0.010469471104443073
physics_guided_NN,100,3500,2,50,0.0024379145830277014,0.010065861977636814
physics_guided_NN,100,3500,2,51,0.0026778882200067695,0.011063061654567719
physics_guided_NN,100,3500,2,52,0.0028755091723393312,0.01004792284220457
physics_guided_NN,100,3500,2,53,0.0024489446278576823,0.012743119150400162
physics_guided_NN,100,3500,2,54,0.0025770860724151135,0.011521720327436924
physics_guided_NN,100,3500,2,55,0.002244957625357942,0.010391672141849995
physics_guided_NN,100,3500,2,56,0.0022236406803131104,0.010562858544290066
physics_guided_NN,100,3500,2,57,0.002671625704335218,0.011525954119861126
physics_guided_NN,100,3500,2,58,0.0021498420159332455,0.010748235508799553
physics_guided_NN,100,3500,2,59,0.0020267136193896557,0.010620146989822388
physics_guided_NN,100,3500,2,60,0.00196347433692691,0.010387755930423737
physics_guided_NN,100,3500,2,61,0.002104168996976858,0.010525360703468323
physics_guided_NN,100,3500,2,62,0.0022274851164018564,0.01018751971423626
physics_guided_NN,100,3500,2,63,0.0032455379048108375,0.010426139459013939
physics_guided_NN,100,3500,2,64,0.0044152867419391196,0.013240093365311623
physics_guided_NN,100,3500,2,65,0.002427245632068,0.010822590440511703
physics_guided_NN,100,3500,2,66,0.0020567726365036585,0.0097419498488307
physics_guided_NN,100,3500,2,67,0.0019822491142390806,0.010154662653803825
physics_guided_NN,100,3500,2,68,0.0016272213627499612,0.010152549482882023
physics_guided_NN,100,3500,2,69,0.0016950072974643924,0.011293932795524597
physics_guided_NN,100,3500,2,70,0.0018826847663149238,0.010928918607532978
