model,training_percentage,training_samples,repeat,epoch,training_loss,validation_loss
physics_guided_NN,75,2625,1,67,0.003593628287836466,0.01640142872929573
physics_guided_NN,75,2625,1,68,0.003591678443453496,0.01681671105325222
physics_guided_NN,75,2625,1,69,0.003653475103506242,0.01755915954709053
physics_guided_NN,75,2625,1,70,0.0035513200647463755,0.01607671007514
physics_guided_NN,75,2625,1,71,0.003428825244468282,0.016377441585063934
physics_guided_NN,75,2625,1,72,0.00303402476908689,0.014750678092241287
physics_guided_NN,75,2625,1,73,0.003122056357651239,0.014967291615903378
physics_guided_NN,75,2625,1,74,0.0030760279180304636,0.015429305844008923
physics_guided_NN,75,2625,1,75,0.00285777972662583,0.015362811274826527
physics_guided_NN,75,2625,1,76,0.0028435164962762167,0.014515253715217113
physics_guided_NN,75,2625,1,77,0.002715638098639569,0.015594699420034885
physics_guided_NN,75,2625,1,78,0.003266061076872228,0.017293807119131088
physics_guided_NN,75,2625,1,79,0.0034552450386053394,0.014256437309086323
physics_guided_NN,75,2625,1,80,0.003556387242583913,0.014302361756563187
physics_guided_NN,75,2625,1,81,0.003485290233844093,0.013418066315352917
physics_guided_NN,75,2625,1,82,0.0025454367361297564,0.0146828293800354
physics_guided_NN,75,2625,1,83,0.0025768212480692283,0.01487449835985899
physics_guided_NN,75,2625,1,84,0.00340677357980028,0.016086289659142494
physics_guided_NN,75,2625,1,85,0.0023896180514601014,0.014152106828987598
physics_guided_NN,75,2625,1,86,0.002605415751791692,0.014018404297530651
physics_guided_NN,75,2625,1,87,0.0021763818208239086,0.015221074223518372
physics_guided_NN,75,2625,1,88,0.002751465620739119,0.01656007580459118
physics_guided_NN,75,2625,1,89,0.005518550320716929,0.020148074254393578
physics_guided_NN,75,2625,1,90,0.003113764182974895,0.01466233842074871
physics_guided_NN,75,2625,1,91,0.0023493931678655955,0.01377076655626297
physics_guided_NN,75,2625,1,92,0.002713998293204765,0.013804432936012745
physics_guided_NN,75,2625,1,93,0.002159400991374804,0.014814335852861404
physics_guided_NN,75,2625,1,94,0.002222513684370954,0.012536348775029182
physics_guided_NN,75,2625,1,95,0.002075000445724332,0.013731064274907112
physics_guided_NN,75,2625,1,96,0.0020979624116859797,0.016927674412727356
physics_guided_NN,75,2625,1,97,0.0023018700878656958,0.013823648914694786
physics_guided_NN,75,2625,1,98,0.0024375071010408213,0.013431195169687271
physics_guided_NN,75,2625,1,99,0.002167068607550824,0.013422675430774689
physics_guided_NN,75,2625,1,100,0.0021016042710037992,0.013889580965042114
physics_guided_NN,75,2625,1,101,0.001984691730155776,0.015363750979304314
physics_guided_NN,75,2625,1,102,0.001852792891094439,0.013799234293401241
physics_guided_NN,75,2625,1,103,0.002043618451959143,0.012893008068203926
physics_guided_NN,75,2625,1,104,0.0018928535920124325,0.013011708855628967
physics_guided_NN,75,2625,1,105,0.001996207311527715,0.01674804277718067
physics_guided_NN,75,2625,1,106,0.006596166416004833,0.014334935694932938
physics_guided_NN,75,2625,1,107,0.003948987097135701,0.015801524743437767
physics_guided_NN,75,2625,1,108,0.002969558925888989,0.015901122242212296
physics_guided_NN,75,2625,1,109,0.001997913606742042,0.013640884310007095
physics_guided_NN,75,2625,1,110,0.0019032324323364133,0.013679352588951588
physics_guided_NN,75,2625,1,111,0.002023966879711398,0.013297293335199356
physics_guided_NN,75,2625,1,112,0.0017748186004436796,0.013193919323384762
physics_guided_NN,75,2625,1,113,0.0023201409258901897,0.014819067902863026
physics_guided_NN,75,2625,1,114,0.0019324942792688187,0.013049415312707424
physics_guided_NN,75,2625,1,115,0.0017852348003846903,0.012219556607306004
physics_guided_NN,75,2625,1,116,0.001985421516500147,0.014580866321921349
physics_guided_NN,75,2625,1,117,0.0021125143946500472,0.01304885745048523
physics_guided_NN,75,2625,1,118,0.001944439757304887,0.012726785615086555
physics_guided_NN,75,2625,1,119,0.0030919978300863434,0.01269785687327385
physics_guided_NN,75,2625,1,120,0.0023034791769792457,0.015093376860022545
physics_guided_NN,75,2625,1,121,0.002127070794813335,0.01613234356045723
physics_guided_NN,75,2625,1,122,0.0024196097607879588,0.012730293907225132
physics_guided_NN,75,2625,1,123,0.005233150022658741,0.020070558413863182
